Depth;Age
205.5;2624.294
206;2627.57
206.5;2630.846
207;2634.123
207.5;2637.399
208;2640.675
208.5;2643.951
209;2647.228
209.5;2650.504
210;2653.78
210.5;2656.866
211;2659.952
211.5;2663.039
212;2666.125
212.5;2669.211
213;2672.297
213.5;2675.383
214;2678.469
214.5;2681.556
215;2684.642
215.5;2687.728
216;2690.814
216.5;2693.9
217;2696.986
217.5;2700.073
218;2703.159
218.5;2706.245
219;2709.331
219.5;2712.417
220;2715.503
220.5;2718.066
221;2720.628
221.5;2723.19
222;2725.753
222.5;2728.315
223;2730.877
223.5;2733.44
224;2736.002
224.5;2738.564
225;2741.127
225.5;2743.689
226;2746.251
226.5;2748.814
227;2751.376
227.5;2753.938
228;2756.501
228.5;2759.063
229;2761.625
229.5;2764.188
230;2766.75
230.5;2769.364
231;2771.977
231.5;2774.591
232;2777.205
232.5;2779.818
233;2782.432
233.5;2785.046
234;2787.659
234.5;2790.273
235;2792.887
235.5;2795.5
236;2798.114
236.5;2800.728
237;2803.341
237.5;2805.955
238;2808.569
238.5;2811.182
239;2813.796
239.5;2816.41
240;2819.023
240.5;2821.435
241;2823.846
241.5;2826.258
242;2828.669
242.5;2831.081
243;2833.492
243.5;2835.903
244;2838.315
244.5;2840.726
245;2843.138
245.5;2845.549
246;2847.961
246.5;2850.372
247;2852.783
247.5;2855.195
248;2857.606
248.5;2860.018
249;2862.429
249.5;2864.841
250;2867.252
250.5;2869.723
251;2872.194
251.5;2874.666
252;2877.137
252.5;2879.608
253;2882.079
253.5;2884.55
254;2887.022
254.5;2889.493
255;2891.964
255.5;2894.435
256;2896.906
256.5;2899.378
257;2901.849
257.5;2904.32
258;2906.791
258.5;2909.263
259;2911.734
259.5;2914.205
260;2916.676
260.5;2919.124
261;2921.572
261.5;2924.019
262;2926.467
262.5;2928.915
263;2931.363
263.5;2933.81
264;2936.258
264.5;2938.706
265;2941.153
265.5;2943.601
266;2946.049
266.5;2948.497
267;2950.944
267.5;2953.392
268;2955.84
268.5;2958.288
269;2960.735
269.5;2963.183
270;2965.631
270.5;2968.072
271;2970.513
271.5;2972.954
272;2975.395
272.5;2977.836
273;2980.277
273.5;2982.718
274;2985.159
274.5;2987.6
275;2990.041
275.5;2992.482
276;2994.923
276.5;2997.364
277;2999.805
277.5;3002.246
278;3004.687
278.5;3007.128
279;3009.569
279.5;3012.01
280;3014.451
280.5;3016.773
281;3019.095
281.5;3021.418
282;3023.74
282.5;3026.063
283;3028.385
283.5;3030.707
284;3033.03
284.5;3035.352
285;3037.675
285.5;3039.997
286;3042.319
286.5;3044.642
287;3046.964
287.5;3049.287
288;3051.609
288.5;3053.931
289;3056.254
289.5;3058.576
290;3060.899
290.5;3063.276
291;3065.654
291.5;3068.032
292;3070.41
292.5;3072.788
293;3075.165
293.5;3077.543
294;3079.921
294.5;3082.299
295;3084.677
295.5;3087.055
296;3089.432
296.5;3091.81
297;3094.188
297.5;3096.566
298;3098.944
298.5;3101.322
299;3103.699
299.5;3106.077
300;3108.455
300.5;3110.873
301;3113.292
301.5;3115.71
302;3118.128
302.5;3120.547
303;3122.965
303.5;3125.383
304;3127.802
304.5;3130.22
305;3132.638
305.5;3135.057
306;3137.475
