Depth;ProjArea;StraightLength;StraightWidth;WLRatio
1.5;0.0345;0.4335;0.1176;0.271280277
1.5;0.3575;1.0831;0.452;0.417320654
1.5;0.0556;0.3491;0.2422;0.693784016
1.5;0.0607;0.4055;0.2528;0.623427867
1.5;0.0632;0.3969;0.2422;0.610229277
1.5;0.1384;0.5786;0.3872;0.669201521
1.5;0.0758;0.4724;0.2142;0.453429297
1.5;0.0208;0.3974;0.073;0.183694011
1.5;0.0864;0.4693;0.2744;0.584700618
1.5;0.0198;0.4843;0.0595;0.122857733
1.5;0.8889;1.3097;0.8824;0.673742078
1.5;0.0415;0.2921;0.2106;0.720985964
1.5;0.0201;0.5956;0.0551;0.092511753
2.5;0.1512;1.3058;0.1752;0.134170623
2.5;0.0111;0.1512;0.0996;0.658730159
2.5;0.04;0.3314;0.2228;0.672299336
2.5;0.0273;0.4258;0.1176;0.276186003
2.5;0.0713;0.451;0.2115;0.468957871
2.5;0.0114;0.2076;0.0923;0.44460501
2.5;0.0214;0.5092;0.0746;0.146504321
2.5;0.0531;0.3393;0.2131;0.628057766
2.5;0.1308;0.693;0.2989;0.431313131
2.5;0.0219;0.2953;0.0966;0.327124958
2.5;0.0196;0.2343;0.1153;0.49210414
2.5;0.0203;0.4819;0.0638;0.132392613
2.5;0.0441;0.5295;0.1013;0.191312559
2.5;0.0065;0.1552;0.0551;0.355025773
2.5;0.0275;0.2701;0.2185;0.808959645
2.5;0.0835;0.9809;0.1086;0.11071465
2.5;0.241;0.9975;0.3533;0.354185464
2.5;0.0023;0.0753;0.0516;0.685258964
2.5;0.0763;0.3529;0.3136;0.888637008
2.5;0.095;0.527;0.3644;0.691461101
2.5;0.0609;0.8884;0.1051;0.118302566
2.5;0.197;0.6483;0.4506;0.695048589
2.5;0.0781;0.7431;0.1363;0.183420805
2.5;0.2747;0.8613;0.4608;0.535005225
2.5;0.0608;0.3292;0.2764;0.839611179
2.5;0.071;0.4154;0.2468;0.594126143
2.5;0.0681;0.5469;0.1724;0.315231304
2.5;0.0462;0.3263;0.2159;0.661661048
2.5;0.0323;0.2807;0.1403;0.499821874
2.5;0.0301;0.2682;0.158;0.589112603
2.5;0.0561;0.8058;0.0918;0.113924051
2.5;0.1331;0.8936;0.2057;0.23019248
2.5;0.0197;0.2057;0.1205;0.58580457
2.5;0.1553;0.9688;0.2403;0.248038811
2.5;0.1581;0.6552;0.3498;0.533882784
2.5;0.0696;0.7308;0.1242;0.169950739
2.5;0.0013;0.056;0.034;0.607142857
2.5;0.0656;0.4789;0.1576;0.329087492
2.5;0.6065;1.0919;0.807;0.73907867
2.5;0.0419;0.4373;0.1176;0.268922936
2.5;0.02;0.2256;0.1102;0.488475177
2.5;0.0335;0.2832;0.1804;0.63700565
2.5;0.1882;0.6883;0.4246;0.616882173
2.5;0.0047;0.0876;0.0626;0.714611872
2.5;0.0604;0.2974;0.2737;0.920309348
2.5;0.0869;0.4282;0.2596;0.606258758
2.5;0.4854;0.894;0.8489;0.949552573
2.5;0.0548;0.3505;0.2429;0.693009986
2.5;0.0076;0.3114;0.034;0.109184329
2.5;0.0267;0.6949;0.0516;0.074255289
2.5;0.1056;0.5206;0.2678;0.514406454
2.5;0.0052;0.1086;0.0683;0.628913444
2.5;0.1191;0.5297;0.3387;0.639418539
2.5;0.359;1.0793;0.414;0.383581951
2.5;0.0555;0.8096;0.0852;0.105237154
2.5;0.0556;0.3663;0.2329;0.635817636
2.5;0.1022;0.9503;0.1399;0.147216668
3.5;0.0045;0.3078;0.0177;0.057504873
3.5;0.0667;0.6052;0.1412;0.233311302
3.5;0.0094;0.2851;0.0478;0.16766047
3.5;0.0336;0.3395;0.1306;0.384683358
3.5;0.2105;0.583;0.4913;0.84271012
3.5;0.0348;0.2528;0.1777;0.702927215
3.5;0.1917;0.5863;0.4953;0.844789357
3.5;0.0519;0.5323;0.1196;0.224685328
3.5;0.0298;0.2823;0.1439;0.50974141
3.5;0.079;0.4709;0.2567;0.545126354
3.5;0.6662;1.2037;0.685;0.569078674
3.5;0.2384;0.6531;0.528;0.808451998
3.5;0.03;0.2557;0.1528;0.597575284
3.5;0.0442;0.676;0.0779;0.115236686
3.5;0.0135;0.2021;0.0911;0.450766947
3.5;0.0339;0.6761;0.0801;0.118473599
3.5;0.1166;0.5632;0.2443;0.433771307
3.5;0.0906;0.3744;0.3348;0.894230769
3.5;0.008;0.2238;0.0481;0.214924039
3.5;0.0249;0.2953;0.1132;0.383338977
3.5;0.0253;0.5015;0.0746;0.148753739
3.5;0.0525;0.5899;0.1522;0.258009832
3.5;0.0304;0.2695;0.1743;0.646753247
3.5;0.0327;0.2382;0.1812;0.76070529
3.5;0.105;0.5652;0.2483;0.439313517
3.5;0.0149;0.1626;0.1232;0.757687577
3.5;0.0207;0.3263;0.0791;0.242414956
3.5;0.3848;0.844;0.6469;0.766469194
3.5;0.0722;0.5803;0.1669;0.287609857
3.5;0.2097;0.7433;0.4205;0.565720436
3.5;0.0436;0.5754;0.1032;0.179353493
3.5;0.0598;0.5202;0.1363;0.26201461
3.5;0.0065;0.3044;0.0354;0.11629435
3.5;0.0063;0.3126;0.028;0.089571337
3.5;0.1808;0.5894;0.3982;0.675602307
3.5;0.0315;0.5395;0.073;0.135310473
3.5;0.0368;0.2579;0.2204;0.854594804
3.5;0.0329;0.2429;0.1737;0.715109098
3.5;0.0111;0.3862;0.0437;0.113153806
3.5;0.0071;0.1045;0.0815;0.779904306
3.5;0.044;0.2858;0.2204;0.771168649
3.5;0.1523;1.2911;0.1614;0.125009682
3.5;0.0332;0.4743;0.1009;0.212734556
3.5;0.037;0.2866;0.1791;0.62491277
3.5;0.075;0.402;0.2587;0.643532338
3.5;0.0167;0.1702;0.1583;0.930082256
3.5;0.0401;0.5199;0.149;0.286593576
3.5;0.0234;0.2485;0.1321;0.531589537
3.5;0.0185;0.2533;0.0902;0.356099487
3.5;0.0986;0.8292;0.2562;0.308972504
3.5;0.01;0.2587;0.0551;0.212988017
3.5;0.054;0.5279;0.1335;0.252888805
3.5;0.0342;0.6946;0.0618;0.08897207
3.5;0.2074;0.7155;0.3974;0.555415793
3.5;0.1063;0.568;0.2499;0.439964789
3.5;0.0133;0.4443;0.0437;0.098356966
3.5;0.1322;0.532;0.3439;0.646428571
3.5;0.0163;0.4707;0.0528;0.112173359
3.5;0.0018;0.0633;0.0396;0.625592417
3.5;0.0278;0.5093;0.0761;0.149420774
3.5;0.0312;0.3956;0.0951;0.240394338
3.5;0.0287;0.6159;0.0551;0.089462575
3.5;0.0206;0.1876;0.1629;0.868336887
4.5;0.0145;0.2993;0.0956;0.319411961
4.5;0.0028;0.0963;0.0403;0.418483904
4.5;0.0476;0.3476;0.2523;0.725834292
4.5;0.0033;0.0963;0.0481;0.499480789
4.5;0.0118;0.343;0.0507;0.147813411
4.5;0.001;0.0923;0.0168;0.182015168
4.5;0.0363;0.6687;0.0681;0.10183939
4.5;0.0338;0.3753;0.1657;0.441513456
4.5;0.0036;0.188;0.028;0.14893617
4.5;0.0153;0.437;0.0461;0.105491991
4.5;0.0579;0.4742;0.2017;0.425347954
4.5;0.0012;0.0683;0.0202;0.295754026
4.5;0.0034;0.1669;0.028;0.167765129
4.5;0.0519;0.6448;0.1222;0.189516129
4.5;0.1995;0.5957;0.5056;0.84874937
4.5;0.0451;0.5761;0.1051;0.182433605
4.5;0.0477;0.4336;0.1434;0.330719557
4.5;0.0551;0.6568;0.1583;0.241017052
4.5;0.2047;0.6878;0.4115;0.598284385
4.5;0.3107;1.6436;0.2179;0.132574836
4.5;0.0782;0.5906;0.1942;0.328818151
4.5;0.0708;0.7718;0.1251;0.162088624
4.5;0.0267;0.404;0.0761;0.188366337
4.5;0.0569;0.3336;0.238;0.713429257
4.5;0.0265;0.3956;0.0979;0.247472194
4.5;0.1252;0.9713;0.2798;0.288067538
4.5;0.3699;1.5004;0.2953;0.196814183
4.5;0.0261;0.2837;0.133;0.468805076
4.5;0.028;0.4953;0.0674;0.136079144
4.5;0.0619;0.3896;0.2349;0.602926078
4.5;0.0317;0.5394;0.0839;0.155543196
4.5;0.0418;0.2804;0.2228;0.794579173
4.5;0.0206;0.3762;0.0777;0.206539075
4.5;0.0032;0.1708;0.028;0.163934426
4.5;0.0321;0.2379;0.1784;0.749894914
4.5;0.0624;0.485;0.1949;0.40185567
4.5;0.0209;0.2017;0.1614;0.800198314
4.5;0.0375;0.4489;0.1076;0.239697037
4.5;0.077;1.1087;0.0977;0.088121223
4.5;0.0085;0.1481;0.0911;0.615124916
4.5;0.0991;0.5115;0.2658;0.519648094
4.5;0.004;0.1399;0.0358;0.255897069
4.5;0.0179;0.4085;0.0681;0.166707466
4.5;0.0391;0.4716;0.1013;0.214800679
4.5;0.0272;0.2053;0.1946;0.94788115
4.5;0.231;0.6658;0.5131;0.770651847
5.5;0.0272;0.239;0.1664;0.69623431
5.5;0.1108;0.458;0.3353;0.73209607
5.5;0.0014;0.0874;0.028;0.320366133
5.5;0.0046;0.0996;0.0638;0.640562249
5.5;0.0235;0.2057;0.1528;0.742829363
5.5;0.0011;0.0681;0.0177;0.259911894
5.5;0.007;0.1076;0.0951;0.883828996
5.5;0.0906;0.6528;0.1968;0.301470588
5.5;0.0013;0.0516;0.028;0.542635659
5.5;0.017;0.3681;0.0676;0.183645748
5.5;0.0014;0.1583;0.0158;0.099810486
5.5;0.0338;1.081;0.0966;0.089361702
