Site;Depth;ProjArea;StraightLength;StraightWidth;WLRatio
DINA;23;0.0932;0.6956;0.1993;0.2865
DINA;23;0.0939;1.0757;0.1321;0.1228
DINA;23;0.0964;1.0455;0.1384;0.1324
DINA;23;0.1005;0.9937;0.1548;0.1558
DINA;23;0.148;1.3233;0.1733;0.1310
DINA;23;0.1721;1.986;0.1477;0.0744
DINA;23;0.1738;1.3443;0.202;0.1503
DINA;23;0.2158;1.1999;0.3489;0.2908
DINA;23;0.3156;1.9041;0.2469;0.1297
DINA;23;0.4576;1.9976;0.3496;0.1750
DINA;24;0.0137;0.662;0.0381;0.0576
DINA;24;0.0269;0.6525;0.0762;0.1168
DINA;24;0.0282;0.6588;0.0723;0.1097
DINA;24;0.0318;0.916;0.0543;0.0593
DINA;24;0.034;0.9213;0.0483;0.0524
DINA;24;0.0355;0.6051;0.0839;0.1387
DINA;24;0.036;0.5491;0.1148;0.2091
DINA;24;0.0405;0.8316;0.0834;0.1003
DINA;24;0.047;0.6783;0.0854;0.1259
DINA;24;0.0615;0.8506;0.0862;0.1013
DINA;24;0.0656;0.9482;0.0916;0.0966
DINA;24;0.0698;1.3978;0.0662;0.0474
DINA;24;0.0698;1.0471;0.1154;0.1102
DINA;24;0.0729;0.8669;0.1063;0.1226
DINA;24;0.0769;0.7659;0.1537;0.2007
DINA;24;0.088;0.8708;0.1382;0.1587
DINA;24;0.0881;1.2198;0.1102;0.0903
DINA;24;0.0921;0.8401;0.1561;0.1858
DINA;24;0.0986;1.2619;0.1264;0.1002
DINA;24;0.0992;0.698;0.1785;0.2557
DINA;24;0.1099;0.0702;2;28.4900
DINA;24;0.1106;1.6973;0.0745;0.0439
DINA;24;0.1146;1.1687;0.1569;0.1343
DINA;24;0.2242;2.0739;0.1403;0.0677
DINA;24;0.2298;1.3855;0.235;0.1696
DINA;24;0.44;2.2235;0.2619;0.1178
DINA;24;0.5221;2.115;0.5089;0.2406
DINA;25;0.0137;0.3736;0.0571;0.1528
DINA;25;0.0148;0.2333;0.0762;0.3266
DINA;25;0.0227;0.5215;0.0554;0.1062
DINA;25;0.0374;0.6135;0.1052;0.1715
DINA;25;0.0447;0.7037;0.0971;0.1380
DINA;25;0.0459;0.507;0.147;0.2899
DINA;25;0.0486;0.8766;0.0792;0.0903
DINA;25;0.0513;0.9967;0.0733;0.0735
DINA;25;0.0534;0.5829;0.1385;0.2376
DINA;25;0.0586;0.6836;0.1538;0.2250
DINA;25;0.0612;0.9831;0.0862;0.0877
DINA;25;0.0614;0.84;0.1271;0.1513
DINA;25;0.0626;1.1855;0.1067;0.0900
DINA;25;0.0637;0.7778;0.0978;0.1257
DINA;25;0.0686;0.7824;0.1111;0.1420
DINA;25;0.0709;0.8195;0.1418;0.1730
DINA;25;0.0712;0.915;0.1816;0.1985
DINA;25;0.0779;0.9855;0.1145;0.1162
DINA;25;0.0971;0.8328;0.1482;0.1780
DINA;25;0.1485;1.177;0.2337;0.1986
DINA;25;0.1508;1.5261;0.1205;0.0790
DINA;25;0.2279;1.1135;0.3333;0.2993
DINA;26;0.0196;0.4682;0.0605;0.1292
DINA;26;0.0281;0.5814;0.1035;0.1780
DINA;26;0.0283;0.569;0.1077;0.1893
DINA;26;0.0347;0.6215;0.1108;0.1783
DINA;26;0.0405;0.7108;0.1063;0.1495
DINA;26;0.0421;0.5786;0.1031;0.1782
DINA;26;0.0509;0.632;0.1154;0.1826
DINA;26;0.0594;0.5846;0.1431;0.2448
DINA;26;0.073;1.2496;0.0846;0.0677
DINA;26;0.0829;0.6897;0.2019;0.2927
DINA;26;0.0985;1.2598;0.1133;0.0899
DINA;26;0.0999;1.0464;0.1166;0.1114
DINA;26;0.1402;1.4657;0.1237;0.0844
DINA;26;0.1582;1.5879;0.1261;0.0794
DINA;26;0.2325;1.1248;0.348;0.3094
DINA;27;0.0177;0.3171;0.077;0.2428
DINA;27;0.0203;0.3899;0.0673;0.1726
DINA;27;0.0266;0.5431;0.0686;0.1263
DINA;27;0.0355;0.5984;0.0854;0.1427
DINA;27;0.0408;0.696;0.0724;0.1040
DINA;27;0.0426;0.5944;0.0854;0.1437
DINA;27;0.0507;0.6179;0.0906;0.1466
DINA;27;0.0507;0.7947;0.0808;0.1017
DINA;27;0.0603;0.6395;0.1397;0.2185
DINA;27;0.0606;0.5705;0.2057;0.3606
DINA;27;0.0621;1.1104;0.0662;0.0596
DINA;27;0.066;0.6327;0.1431;0.2262
DINA;27;0.0672;1.1933;0.0961;0.0805
DINA;27;0.0678;0.8628;0.1005;0.1165
DINA;27;0.0721;0.8411;0.1672;0.1988
DINA;27;0.0745;0.6955;0.1507;0.2167
DINA;27;0.1019;2.0292;0.0769;0.0379
DINA;27;0.1044;0.9898;0.1587;0.1603
DINA;27;0.1496;1.1233;0.2041;0.1817
DINA;27;0.173;1.4583;0.1746;0.1197
DINA;27;0.1766;1.5807;0.1973;0.1248
DINA;28;0.0153;0.4063;0.0601;0.1479
DINA;28;0.0323;0.6554;0.0554;0.0845
DINA;28;0.0385;0.8198;0.0854;0.1042
DINA;28;0.0802;0.9626;0.1301;0.1352
DINA;28;0.1095;0.6628;0.2476;0.3736
DINA;28;0.1121;1.3816;0.1051;0.0761
DINA;28;0.1237;1.0299;0.1772;0.1721
DINA;28;0.1307;1.4639;0.1425;0.0973
DINA;28;0.1437;1.428;0.1543;0.1081
DINA;28;0.3143;1.2665;0.4218;0.3330
DINA;28;0.3799;1.5167;0.6688;0.4410
DINA;28;0.534;2.8818;0.3499;0.1214
DINA;29;0.0233;0.5398;0.0605;0.1121
DINA;29;0.0285;0.5249;0.0902;0.1718
DINA;29;0.0369;0.4991;0.0854;0.1711
DINA;29;0.0429;1.0256;0.0968;0.0944
DINA;29;0.0441;0.6231;0.1455;0.2335
DINA;29;0.0528;0.6382;0.1288;0.2018
DINA;29;0.0536;0.7141;0.1373;0.1923
DINA;29;0.0597;0.6194;0.139;0.2244
DINA;29;0.0685;0.5398;0.2774;0.5139
DINA;29;0.0709;0.9583;0.0989;0.1032
DINA;29;0.0795;1.1346;0.1318;0.1162
DINA;29;0.0846;0.5779;0.2069;0.3580
DINA;29;0.0906;1.0165;0.1771;0.1742
DINA;29;0.1008;0.8269;0.1587;0.1919
DINA;29;0.1018;0.7973;0.1705;0.2138
DINA;29;0.1101;1.8399;0.0734;0.0399
DINA;29;0.1163;0.6988;0.2352;0.3366
DINA;29;0.1279;0.8664;0.2352;0.2715
DINA;29;0.1578;1.3877;0.1595;0.1149
DINA;29;0.2494;1.0216;0.3589;0.3513
DINA;29;0.2644;1.1756;0.4099;0.3487
DINA;29;0.2853;1.3989;0.2733;0.1954
DINA;29;0.8562;2.3371;0.6501;0.2782
DINA;30;0.0062;0.1963;0.0469;0.2389
DINA;30;0.0178;0.6043;0.0555;0.0918
DINA;30;0.0208;0.425;0.0819;0.1927
DINA;30;0.0253;0.5367;0.0662;0.1233
DINA;30;0.0274;0.6576;0.0671;0.1020
DINA;30;0.0336;0.5275;0.0848;0.1608
DINA;30;0.0369;0.4855;0.1035;0.2132
DINA;30;0.0456;0.5227;0.1403;0.2684
DINA;30;0.0505;0.4162;0.1561;0.3751
DINA;30;0.0522;0.6762;0.0921;0.1362
DINA;30;0.0565;1.1139;0.1001;0.0899
DINA;30;0.0721;0.9928;0.1237;0.1246
DINA;30;0.0777;0.4746;0.2442;0.5145
DINA;30;0.0823;2.2288;0.0554;0.0249
DINA;30;0.0831;1.4527;0.1341;0.0923
DINA;30;0.0908;1.4706;0.0836;0.0568
DINA;30;0.0955;0.752;0.2139;0.2844
DINA;30;0.1014;1.6698;0.0901;0.0540
DINA;30;0.1199;0.6302;0.2992;0.4748
DINA;30;0.1204;0.9471;0.1951;0.2060
DINA;30;0.1817;2.35;0.1631;0.0694
DINA;30;0.2388;1.3405;0.2658;0.1983
DINA;30;0.2622;1.1984;0.3825;0.3192
DINA;30;0.2748;2.0702;0.372;0.1797
DINA;30;0.3089;1.1657;0.5021;0.4307
DINA;30;0.3668;1.4841;0.3453;0.2327
DINA;31;0.0075;0.183;0.0591;0.3230
DINA;31;0.0123;0.2959;0.0665;0.2247
DINA;31;0.0186;0.385;0.0762;0.1979
DINA;31;0.0201;0.6437;0.077;0.1196
DINA;31;0.0231;0.4988;0.0804;0.1612
DINA;31;0.0238;0.4248;0.0852;0.2006
DINA;31;0.0255;0.3587;0.1029;0.2869
DINA;31;0.0275;0.3707;0.1024;0.2762
DINA;31;0.0278;0.604;0.0685;0.1134
DINA;31;0.0336;0.4601;0.1005;0.2184
DINA;31;0.0358;1.5649;0.0381;0.0243
DINA;31;0.0365;0.5265;0.098;0.1861
DINA;31;0.0373;0.6294;0.0785;0.1247
DINA;31;0.0387;0.6436;0.0792;0.1231
DINA;31;0.0403;0.7252;0.1201;0.1656
DINA;31;0.042;0.666;0.1086;0.1631
DINA;31;0.0445;0.5448;0.1131;0.2076
DINA;31;0.0459;0.8195;0.0673;0.0821
DINA;31;0.0497;0.9178;0.1103;0.1202
DINA;31;0.0514;1.1906;0.0662;0.0556
DINA;31;0.0525;0.6585;0.1219;0.1851
DINA;31;0.0543;0.7436;0.1148;0.1544
DINA;31;0.0636;0.8483;0.1108;0.1306
DINA;31;0.0644;1.0437;0.1108;0.1062
DINA;31;0.08;0.805;0.1631;0.2026
DINA;31;0.0824;0.619;0.2199;0.3553
DINA;31;0.0872;0.6389;0.1882;0.2946
DINA;31;0.1033;0.9775;0.1327;0.1358
DINA;31;0.1098;1.0995;0.2373;0.2158
DINA;31;0.1383;0.8318;0.3404;0.4092
DINA;31;0.1961;1.7616;0.1532;0.0870
DINA;31;0.2357;2.0102;0.1518;0.0755
DINA;31;0.2932;1.9337;0.2389;0.1235
DINA;31;0.3363;1.8048;0.2231;0.1236
DINA;31;0.5874;1.6136;0.5465;0.3387
DINA;32;0.009;0.1184;0.1052;0.8885
DINA;32;0.0305;1.2851;0.0381;0.0296
DINA;32;0.0313;0.9345;0.0593;0.0635
DINA;32;0.0329;0.7518;0.0734;0.0976
DINA;32;0.0403;0.6207;0.0854;0.1376
DINA;32;0.0409;0.6961;0.0917;0.1317
DINA;32;0.0417;0.8934;0.0665;0.0744
DINA;32;0.0464;0.6976;0.0784;0.1124
DINA;32;0.0477;0.6243;0.1373;0.2199
DINA;32;0.0486;0.6086;0.126;0.2070
DINA;32;0.0526;0.8398;0.0948;0.1129
DINA;32;0.0722;1.7359;0.08;0.0461
DINA;32;0.0736;0.8333;0.1241;0.1489
DINA;32;0.081;1.0121;0.1071;0.1058
DINA;32;0.0853;0.609;0.2724;0.4473
DINA;32;0.0861;1.0736;0.1666;0.1552
DINA;32;0.0869;0.7778;0.1811;0.2328
DINA;32;0.0901;0.8131;0.1691;0.2080
DINA;32;0.097;1.0335;0.1569;0.1518
DINA;32;0.0977;1.183;0.1277;0.1079
DINA;32;0.0981;0.9425;0.1348;0.1430
DINA;32;0.1111;0.9795;0.1466;0.1497
DINA;32;0.1163;0.9555;0.2249;0.2354
DINA;32;0.1189;0.7265;0.3078;0.4237
DINA;32;0.1299;1.1944;0.1913;0.1602
DINA;32;0.1355;1.0922;0.1993;0.1825
DINA;32;0.1524;1.2369;0.2001;0.1618
DINA;32;0.1758;1.2234;0.1919;0.1569
DINA;32;0.2993;1.6851;0.2537;0.1506
DINA;32;0.3121;1.4041;0.2938;0.2092
DINA;32;0.6495;3.0958;0.3247;0.1049
DINA;33;0.0091;0.4419;0.0307;0.0695
DINA;33;0.0104;0.2636;0.0554;0.2102
DINA;33;0.0112;0.2712;0.0762;0.2810
DINA;33;0.0114;0.2511;0.0723;0.2879
DINA;33;0.0123;0.292;0.0649;0.2223
DINA;33;0.019;0.4515;0.0614;0.1360
DINA;33;0.0196;0.2706;0.1158;0.4279
DINA;33;0.0205;0.3538;0.1155;0.3265
DINA;33;0.0328;0.5047;0.1574;0.3119
DINA;33;0.034;0.3946;0.1135;0.2876
DINA;33;0.0351;0.6003;0.0752;0.1253
DINA;33;0.0359;0.7222;0.1023;0.1417
DINA;33;0.0366;0.4849;0.1236;0.2549
DINA;33;0.0367;0.5991;0.0745;0.1244
DINA;33;0.0372;0.8043;0.0725;0.0901
DINA;33;0.0373;0.5541;0.1081;0.1951
DINA;33;0.0446;0.7796;0.2011;0.2580
DINA;33;0.0459;0.7224;0.0939;0.1300
DINA;33;0.0609;0.7454;0.0976;0.1309
DINA;33;0.0615;0.7359;0.1363;0.1852
DINA;33;0.0615;0.4805;0.1617;0.3365
DINA;33;0.0619;0.7403;0.1127;0.1522
DINA;33;0.0634;1.013;0.0835;0.0824
DINA;33;0.0659;0.7504;0.1052;0.1402
DINA;33;0.0704;0.688;0.1406;0.2044
DINA;33;0.0704;0.6194;0.1509;0.2436
DINA;33;0.0712;1.1301;0.0819;0.0725
DINA;33;0.0729;0.6294;0.1869;0.2969
DINA;33;0.0772;1.1904;0.0873;0.0733
DINA;33;0.0782;0.9154;0.1371;0.1498
DINA;33;0.0917;0.5722;0.2178;0.3806
DINA;33;0.0938;0.9327;0.1748;0.1874
DINA;33;0.0947;1.5087;0.0967;0.0641
DINA;33;0.0962;1.0869;0.1108;0.1019
DINA;33;0.0973;0.7186;0.2104;0.2928
DINA;33;0.0992;1.2493;0.1233;0.0987
DINA;33;0.1042;0.8726;0.1777;0.2036
DINA;33;0.1048;0.8615;0.2396;0.2781
DINA;33;0.1272;1.4073;0.1327;0.0943
DINA;33;0.1378;1.1313;0.1907;0.1686
DINA;33;0.151;1.4268;0.1503;0.1053
DINA;33;0.1577;1.1474;0.1924;0.1677
DINA;33;0.1599;1.2837;0.2849;0.2219
DINA;33;0.1659;1.1405;0.1952;0.1712
DINA;33;0.1739;1.0176;0.2443;0.2401
DINA;33;0.1965;1.5952;0.1628;0.1021
DINA;33;0.209;1.3675;0.2066;0.1511
DINA;33;0.2108;2.0523;0.229;0.1116
DINA;33;0.2972;1.7422;0.3063;0.1758
DINA;33;0.3642;1.6911;0.5836;0.3451
DINA;33;0.4742;1.3615;0.4305;0.3162
DINA;33;0.4904;2.9347;0.3636;0.1239
DINA;33;0.6331;1.2768;0.8004;0.6269
DINA;33;0.7078;5.2276;0.2183;0.0418
DINA;33;0.8197;1.8744;0.5258;0.2805
DINA;33;0.9342;2.58;0.4504;0.1746
DINA;34;0.0143;0.4229;0.0537;0.1270
DINA;34;0.0205;0.5292;0.06;0.1134
DINA;34;0.026;0.6229;0.0836;0.1342
DINA;34;0.0318;0.9747;0.0729;0.0748
DINA;34;0.0321;0.5163;0.0935;0.1811
DINA;34;0.0325;0.6021;0.0804;0.1335
DINA;34;0.0331;0.6509;0.0649;0.0997
DINA;34;0.0336;0.5868;0.0978;0.1667
DINA;34;0.042;0.5872;0.0917;0.1562
DINA;34;0.0449;0.5576;0.1026;0.1840
DINA;34;0.0451;0.8636;0.0783;0.0907
DINA;34;0.047;0.4583;0.2823;0.6160
DINA;34;0.0537;0.687;0.12;0.1747
DINA;34;0.0547;0.619;0.1047;0.1691
DINA;34;0.0669;0.9995;0.0951;0.0951
DINA;34;0.0715;1.1855;0.1233;0.1040
DINA;34;0.0757;0.8551;0.1249;0.1461
DINA;34;0.0765;1.7121;0.0817;0.0477
DINA;34;0.0803;0.68;0.1804;0.2653
DINA;34;0.0806;1.459;0.1239;0.0849
DINA;34;0.0828;1.0009;0.1508;0.1507
DINA;34;0.0836;1.0527;0.1341;0.1274
DINA;34;0.085;1.2288;0.1026;0.0835
DINA;34;0.1219;0.5815;0.2809;0.4831
DINA;34;0.127;1.4592;0.1468;0.1006
DINA;34;0.1288;1.2586;0.1442;0.1146
DINA;34;0.1336;1.1078;0.2317;0.2092
DINA;34;0.1561;1.8723;0.1206;0.0644
DINA;34;0.2901;1.826;0.2167;0.1187
DINA;34;0.3601;1.3935;0.6286;0.4511
DINA;34;0.3838;1.4304;0.3437;0.2403
DINA;34;0.5472;2.5504;0.3505;0.1374
DINA;35;0.0157;0.5668;0.0424;0.0748
DINA;35;0.0163;0.5439;0.0385;0.0708
DINA;35;0.0263;0.5727;0.0571;0.0997
DINA;35;0.0275;0.5318;0.0639;0.1202
DINA;35;0.0309;0.6653;0.0601;0.0903
DINA;35;0.0346;0.3556;0.1679;0.4722
DINA;35;0.035;0.7383;0.0914;0.1238
DINA;35;0.035;0.4024;0.1215;0.3019
DINA;35;0.0362;0.7242;0.0725;0.1001
DINA;35;0.0383;0.9221;0.0639;0.0693
DINA;35;0.0399;0.6418;0.0916;0.1427
DINA;35;0.0413;0.611;0.1035;0.1694
DINA;35;0.0427;0.6745;0.1106;0.1640
DINA;35;0.043;0.8525;0.0687;0.0806
DINA;35;0.0437;0.823;0.0788;0.0957
DINA;35;0.0443;0.6261;0.0952;0.1521
DINA;35;0.047;0.5731;0.1081;0.1886
DINA;35;0.0472;0.9272;0.0742;0.0800
DINA;35;0.048;0.7114;0.1148;0.1614
DINA;35;0.0503;0.6926;0.0807;0.1165
DINA;35;0.0578;0.89;0.2679;0.3010
DINA;35;0.0679;1.1054;0.0894;0.0809
DINA;35;0.0686;0.6999;0.1207;0.1725
DINA;35;0.0704;1.1995;0.0862;0.0719
DINA;35;0.0731;0.8496;0.147;0.1730
DINA;35;0.0755;1.0375;0.1384;0.1334
DINA;35;0.0774;0.6574;0.1884;0.2866
DINA;35;0.078;0.7188;0.1395;0.1941
DINA;35;0.0831;0.9338;0.1679;0.1798
DINA;35;0.0892;0.6847;0.1972;0.2880
DINA;35;0.0929;0.9585;0.1699;0.1773
DINA;35;0.0933;0.7358;0.1701;0.2312
DINA;35;0.0971;0.7376;0.1717;0.2328
DINA;35;0.1014;1.276;0.1638;0.1284
DINA;35;0.1016;0.8885;0.1525;0.1716
DINA;35;0.1024;0.7674;0.1772;0.2309
DINA;35;0.1096;1.082;0.1517;0.1402
DINA;35;0.1169;1.5184;0.1504;0.0991
DINA;35;0.1308;1.0365;0.237;0.2287
DINA;35;0.1396;1.6076;0.1241;0.0772
DINA;35;0.1491;0.9855;0.2648;0.2687
DINA;35;0.1634;1.5616;0.2242;0.1436
DINA;35;0.1963;0.9512;0.2972;0.3124
DINA;35;0.2594;1.9062;0.1993;0.1046
DINA;35;0.4592;2.9758;0.2365;0.0795
DINA;35;1.2785;4.4342;0.363;0.0819
DINA;36;0.007;0.3347;0.0351;0.1049
DINA;36;0.018;0.4791;0.0566;0.1181
DINA;36;0.0181;0.5471;0.0545;0.0996
DINA;36;0.0208;0.543;0.0543;0.1000
DINA;36;0.0215;0.7226;0.0438;0.0606
DINA;36;0.0222;0.4189;0.0835;0.1993
DINA;36;0.0254;0.4603;0.0808;0.1755
DINA;36;0.0274;0.8752;0.0483;0.0552
DINA;36;0.0282;0.555;0.0804;0.1449
DINA;36;0.0288;0.7566;0.0517;0.0683
DINA;36;0.0296;0.8951;0.0438;0.0489
DINA;36;0.03;0.8421;0.0687;0.0816
DINA;36;0.0314;0.7041;0.0742;0.1054
DINA;36;0.0333;0.5584;0.0939;0.1682
DINA;36;0.0348;0.5836;0.0808;0.1385
DINA;36;0.0354;0.6291;0.0852;0.1354
DINA;36;0.0354;0.6606;0.0745;0.1128
DINA;36;0.0359;0.9615;0.0571;0.0594
DINA;36;0.0368;0.6706;0.0986;0.1470
DINA;36;0.0414;0.6979;0.0819;0.1174
DINA;36;0.0435;0.8667;0.0804;0.0928
DINA;36;0.045;0.6095;0.1125;0.1846
DINA;36;0.0476;0.9338;0.0727;0.0779
DINA;36;0.0513;0.8001;0.0986;0.1232
DINA;36;0.0528;0.5815;0.1146;0.1971
DINA;36;0.054;0.8043;0.0973;0.1210
DINA;36;0.0578;0.7211;0.1272;0.1764
DINA;36;0.0582;0.7109;0.12;0.1688
DINA;36;0.0584;0.8724;0.1159;0.1329
DINA;36;0.0653;0.9335;0.0973;0.1042
DINA;36;0.0663;0.5999;0.201;0.3351
DINA;36;0.0689;0.6784;0.1359;0.2003
DINA;36;0.0733;0.7268;0.1316;0.1811
DINA;36;0.0734;0.8953;0.1094;0.1222
DINA;36;0.0741;0.8743;0.1333;0.1525
DINA;36;0.0833;0.6081;0.2387;0.3925
DINA;36;0.093;0.7605;0.1847;0.2429
DINA;36;0.0942;1.0987;0.1148;0.1045
DINA;36;0.1002;0.7854;0.1837;0.2339
DINA;36;0.1035;0.8976;0.1701;0.1895
DINA;36;0.1109;1.0511;0.2705;0.2573
DINA;36;0.1117;0.8648;0.1992;0.2303
DINA;36;0.131;0.9935;0.1811;0.1823
DINA;36;0.1323;1.6557;0.2126;0.1284
DINA;36;0.1391;1.2805;0.1536;0.1200
DINA;36;0.1522;1.8423;0.1035;0.0562
DINA;36;0.163;1.4475;0.1867;0.1290
DINA;36;0.1648;1.4285;0.1827;0.1279
DINA;36;0.167;1.9005;0.264;0.1389
DINA;36;0.2388;0.9624;0.3195;0.3320
DINA;36;0.6853;3.0003;0.5214;0.1738
DKL;0;0.0056;0.1755;0.0611;0.3481
DKL;0;0.006;0.2329;0.0433;0.1859
DKL;0;0.0082;0.2357;0.0432;0.1833
DKL;0;0.0097;0.2165;0.0864;0.3991
DKL;0;0.0123;0.1783;0.0968;0.5429
DKL;0;0.0131;0.2023;0.0796;0.3935
DKL;0;0.0138;0.2132;0.0988;0.4634
DKL;0;0.0165;0.3922;0.0611;0.1558
DKL;0;0.0195;0.3568;0.151;0.4232
DKL;0;0.0213;0.2258;0.1823;0.8074
DKL;0;0.0217;0.306;0.1238;0.4046
DKL;0;0.0236;0.269;0.1127;0.4190
DKL;0;0.0243;0.3372;0.0988;0.2930
DKL;0;0.0303;0.2023;0.2016;0.9965
DKL;0;0.0314;0.4252;0.0988;0.2324
DKL;0;0.0337;0.3174;0.1394;0.4392
DKL;0;0.0378;0.3922;0.165;0.4207
DKL;0;0.0468;0.3292;0.216;0.6561
DKL;0;0.1407;0.9567;0.2922;0.3054
DKL;1;0.0071;0.2261;0.0433;0.1915
DKL;1;0.0075;0.1832;0.0799;0.4361
DKL;1;0.0079;0.2159;0.0388;0.1797
DKL;1;0.0086;0.2091;0.0698;0.3338
DKL;1;0.009;0.2261;0.0433;0.1915
DKL;1;0.009;0.2261;0.0433;0.1915
DKL;1;0.0094;0.1931;0.0775;0.4013
DKL;1;0.0101;0.3031;0.0697;0.2300
DKL;1;0.0101;0.2023;0.0611;0.3020
DKL;1;0.0105;0.2165;0.0697;0.3219
DKL;1;0.0108;0.2261;0.0866;0.3830
DKL;1;0.0112;0.1933;0.0968;0.5008
DKL;1;0.0116;0.1993;0.0864;0.4335
DKL;1;0.012;0.2206;0.0697;0.3160
DKL;1;0.012;0.1969;0.0799;0.4058
DKL;1;0.0127;0.2094;0.0967;0.4618
DKL;1;0.0127;0.2094;0.0967;0.4618
DKL;1;0.0135;0.2334;0.0866;0.3710
DKL;1;0.0146;0.1903;0.1299;0.6826
DKL;1;0.0146;0.1989;0.1129;0.5676
DKL;1;0.0146;0.2443;0.0988;0.4044
DKL;1;0.015;0.1969;0.0988;0.5018
DKL;1;0.0153;0.2016;0.141;0.6994
DKL;1;0.0153;0.1783;0.1094;0.6136
DKL;1;0.0157;0.2592;0.1129;0.4356
DKL;1;0.0157;0.2871;0.0799;0.2783
DKL;1;0.0157;0.1783;0.1239;0.6949
DKL;1;0.0165;0.1838;0.1221;0.6643
DKL;1;0.0165;0.3122;0.0864;0.2767
DKL;1;0.0168;0.1823;0.1396;0.7658
DKL;1;0.0183;0.194;0.1179;0.6077
DKL;1;0.0187;0.1823;0.1396;0.7658
DKL;1;0.0187;0.1993;0.1127;0.5655
DKL;1;0.0191;0.2023;0.1406;0.6950
DKL;1;0.0206;0.1989;0.1396;0.7019
DKL;1;0.0217;0.2397;0.1221;0.5094
DKL;1;0.0221;0.2629;0.1396;0.5310
DKL;1;0.0228;0.1933;0.1665;0.8614
DKL;1;0.0232;0.5575;0.0698;0.1252
DKL;1;0.0247;0.3702;0.1174;0.3171
DKL;1;0.0251;0.2188;0.1368;0.6252
DKL;1;0.0258;0.302;0.1511;0.5003
DKL;1;0.0277;0.3063;0.1406;0.4590
DKL;1;0.0292;0.2397;0.1592;0.6642
DKL;1;0.0296;0.2632;0.1663;0.6318
DKL;1;0.0299;0.2964;0.1748;0.5897
DKL;1;0.0303;0.2812;0.1838;0.6536
DKL;1;0.0314;0.2359;0.2094;0.8877
DKL;1;0.0318;0.2388;0.1786;0.7479
DKL;1;0.0322;0.2254;0.1826;0.8101
DKL;1;0.0325;0.461;0.1396;0.3028
DKL;1;0.0329;0.7336;0.0775;0.1056
DKL;1;0.0344;0.486;0.0985;0.2027
DKL;1;0.0352;0.2443;0.1838;0.7524
DKL;1;0.0359;0.3695;0.2057;0.5567
DKL;1;0.0363;0.4409;0.1511;0.3427
DKL;1;0.0374;0.2765;0.2166;0.7834
DKL;1;0.0382;0.2766;0.2165;0.7827
DKL;1;0.0382;0.2933;0.1748;0.5960
DKL;1;0.0385;0.4504;0.1903;0.4225
DKL;1;0.0397;0.3922;0.1471;0.3751
DKL;1;0.0397;0.2765;0.2166;0.7834
DKL;1;0.04;0.4251;0.1558;0.3665
DKL;1;0.0415;0.306;0.1663;0.5435
DKL;1;0.0427;0.4242;0.1665;0.3925
DKL;1;0.043;0.4384;0.1784;0.4069
DKL;1;0.0486;0.5152;0.1225;0.2378
DKL;1;0.052;0.29;0.2206;0.7607
DKL;1;0.0565;0.3345;0.2539;0.7590
DKL;1;0.0606;0.4425;0.1903;0.4301
DKL;1;0.0621;0.3749;0.2397;0.6394
DKL;1;0.0696;0.4938;0.1993;0.4036
DKL;1;0.073;0.4161;0.2518;0.6051
DKL;1;0.0756;0.5315;0.252;0.4741
DKL;1;0.0988;0.5496;0.2635;0.4794
DKL;1;0.1018;0.7001;0.2902;0.4145
DKL;1;0.1193;1.1392;0.2141;0.1879
DKL;1;0.1235;0.565;0.3113;0.5510
DKL;1;0.1407;0.6013;0.3217;0.5350
DKL;1;0.15;0.6397;0.3125;0.4885
DKL;1;0.1526;0.6814;0.2812;0.4127
DKL;1;0.153;0.7556;0.3293;0.4358
DKL;1;0.1639;0.788;0.4288;0.5442
DKL;1;0.1721;0.9217;0.3566;0.3869
DKL;1;0.1919;0.5889;0.5184;0.8803
DKL;1;0.2118;0.6809;0.4297;0.6311
DKL;1;0.2297;0.8227;0.3422;0.4159
DKL;1;0.2376;0.9171;0.3696;0.4030
DKL;1;0.26;0.928;0.392;0.4224
DKL;1;0.5492;1.4061;0.6079;0.4323
DKL;1;0.8901;2.1404;0.7733;0.3613
DKL;1;1.1751;2.2889;0.8503;0.3715
DKL;1;8.8885;5.1029;2.339;0.4584
DKL;2;0.0108;0.1838;0.0796;0.4331
DKL;2;0.0168;0.245;0.104;0.4245
DKL;2;0.0183;0.2086;0.1221;0.5853
DKL;2;0.0191;0.2254;0.1129;0.5009
DKL;2;0.0198;0.3195;0.0796;0.2491
DKL;2;0.0221;0.1948;0.1557;0.7993
DKL;2;0.0221;0.1933;0.1511;0.7817
DKL;2;0.0232;0.2549;0.1174;0.4606
DKL;2;0.0236;0.1907;0.165;0.8652
DKL;2;0.0243;0.2632;0.151;0.5737
DKL;2;0.0292;0.2421;0.1561;0.6448
DKL;2;0.0322;0.4353;0.104;0.2389
DKL;2;0.0337;0.5647;0.0968;0.1714
DKL;2;0.0355;0.2325;0.2141;0.9209
DKL;2;0.0385;0.4604;0.1296;0.2815
DKL;2;0.0389;0.3445;0.151;0.4383
DKL;2;0.0389;0.2955;0.1823;0.6169
DKL;2;0.04;0.3848;0.1225;0.3183
DKL;2;0.0404;0.252;0.1993;0.7909
DKL;2;0.0412;0.3702;0.1557;0.4206
DKL;2;0.043;0.2821;0.2443;0.8660
DKL;2;0.043;0.2518;0.2511;0.9972
DKL;2;0.0438;0.5265;0.1238;0.2351
