Site;Depth;ProjArea;StraightLength;StraightWidth;WLRatio
BOC;2;0.0191;0.4108;0.0742;0.1806
BOC;2;0.0193;0.2299;0.1296;0.5637
BOC;2;0.0195;0.2293;0.1232;0.5373
BOC;2;0.0196;0.4746;0.0715;0.1507
BOC;2;0.0198;0.4126;0.0718;0.1740
BOC;2;0.0201;0.3002;0.0911;0.3035
BOC;2;0.0202;0.3526;0.0784;0.2223
BOC;2;0.0205;0.3392;0.092;0.2712
BOC;2;0.0208;0.4658;0.0648;0.1391
BOC;2;0.021;0.5279;0.0523;0.0991
BOC;2;0.0217;0.4337;0.0627;0.1446
BOC;2;0.0224;0.2944;0.101;0.3431
BOC;2;0.0228;0.3101;0.0982;0.3167
BOC;2;0.023;0.3379;0.138;0.4084
BOC;2;0.023;0.2908;0.1509;0.5189
BOC;2;0.0231;0.3912;0.0713;0.1823
BOC;2;0.0236;0.2479;0.1239;0.4998
BOC;2;0.0236;0.361;0.1198;0.3319
BOC;2;0.0237;0.2058;0.1764;0.8571
BOC;2;0.0238;0.2691;0.153;0.5686
BOC;2;0.024;0.2188;0.1602;0.7322
BOC;2;0.0243;0.4651;0.0711;0.1529
BOC;2;0.0246;0.3985;0.0808;0.2028
BOC;2;0.025;0.2819;0.1118;0.3966
BOC;2;0.0251;0.2953;0.1325;0.4487
BOC;2;0.0251;0.2621;0.1358;0.5181
BOC;2;0.0253;0.2262;0.1873;0.8280
BOC;2;0.0254;0.2823;0.1242;0.4400
BOC;2;0.0255;0.4147;0.0779;0.1878
BOC;2;0.0256;0.3491;0.1228;0.3518
BOC;2;0.0258;0.232;0.1805;0.7780
BOC;2;0.0259;0.3069;0.1367;0.4454
BOC;2;0.026;0.2768;0.1338;0.4834
BOC;2;0.026;0.5268;0.0634;0.1203
BOC;2;0.0261;0.2446;0.1603;0.6554
BOC;2;0.0268;0.6523;0.0582;0.0892
BOC;2;0.0273;0.4351;0.087;0.2000
BOC;2;0.0274;0.4875;0.0926;0.1899
BOC;2;0.0275;0.4014;0.0885;0.2205
BOC;2;0.0275;0.4362;0.075;0.1719
BOC;2;0.0281;0.4667;0.0863;0.1849
BOC;2;0.0282;0.4421;0.09;0.2036
BOC;2;0.0286;0.2952;0.167;0.5657
BOC;2;0.0286;0.2296;0.1978;0.8615
BOC;2;0.029;0.5788;0.0634;0.1095
BOC;2;0.0292;0.3429;0.146;0.4258
BOC;2;0.0292;0.394;0.1027;0.2607
BOC;2;0.0293;0.3248;0.1251;0.3852
BOC;2;0.0295;0.2821;0.1516;0.5374
BOC;2;0.0296;0.2821;0.1712;0.6069
BOC;2;0.0298;0.4813;0.0722;0.1500
BOC;2;0.0302;0.5069;0.0796;0.1570
BOC;2;0.0302;0.4454;0.0784;0.1760
BOC;2;0.0306;0.4236;0.0867;0.2047
BOC;2;0.0306;0.3152;0.1249;0.3963
BOC;2;0.0311;0.299;0.1274;0.4261
BOC;2;0.0311;0.3137;0.1207;0.3848
BOC;2;0.0312;0.4142;0.0954;0.2303
BOC;2;0.0318;0.2853;0.1616;0.5664
BOC;2;0.0319;0.6357;0.0657;0.1034
BOC;2;0.0322;0.3097;0.13;0.4198
BOC;2;0.0323;0.41;0.0894;0.2180
BOC;2;0.0323;0.2774;0.1719;0.6197
BOC;2;0.0325;0.253;0.2238;0.8846
BOC;2;0.0325;0.3696;0.1305;0.3531
BOC;2;0.0327;0.5458;0.0875;0.1603
BOC;2;0.0328;0.3282;0.1575;0.4799
BOC;2;0.0329;0.301;0.1668;0.5542
BOC;2;0.033;0.3807;0.1117;0.2934
BOC;2;0.0339;0.2707;0.202;0.7462
BOC;2;0.034;0.5563;0.0982;0.1765
BOC;2;0.0342;0.4325;0.0953;0.2203
BOC;2;0.0345;0.3215;0.1452;0.4516
BOC;2;0.0347;0.3318;0.1403;0.4228
BOC;2;0.0354;0.4426;0.0961;0.2171
BOC;2;0.0354;0.3101;0.1557;0.5021
BOC;2;0.0355;0.5359;0.0985;0.1838
BOC;2;0.036;0.281;0.2194;0.7808
BOC;2;0.0365;0.3856;0.1259;0.3265
BOC;2;0.0366;0.5144;0.0989;0.1923
BOC;2;0.0368;0.258;0.2373;0.9198
BOC;2;0.0373;0.3883;0.1077;0.2774
BOC;2;0.0376;0.448;0.1174;0.2621
BOC;2;0.0378;0.2686;0.2164;0.8057
BOC;2;0.0379;0.5644;0.1072;0.1899
BOC;2;0.0379;0.2844;0.1749;0.6150
BOC;2;0.0384;0.4741;0.0929;0.1960
BOC;2;0.0385;0.4121;0.1528;0.3708
BOC;2;0.039;0.3045;0.1854;0.6089
BOC;2;0.0393;0.3879;0.1333;0.3436
BOC;2;0.0396;0.3365;0.1818;0.5403
BOC;2;0.0398;0.3669;0.162;0.4415
BOC;2;0.0399;0.2872;0.1869;0.6508
BOC;2;0.04;0.6731;0.097;0.1441
BOC;2;0.0406;0.478;0.0985;0.2061
BOC;2;0.0407;0.3679;0.1582;0.4300
BOC;2;0.0413;0.3807;0.1354;0.3557
BOC;2;0.0415;0.4537;0.1334;0.2940
BOC;2;0.0416;0.3469;0.1831;0.5278
BOC;2;0.0422;0.4867;0.1169;0.2402
BOC;2;0.0424;0.3756;0.1605;0.4273
BOC;2;0.0424;0.3295;0.1824;0.5536
BOC;2;0.0426;0.3225;0.1952;0.6053
BOC;2;0.0428;0.3953;0.1465;0.3706
BOC;2;0.043;0.3302;0.1621;0.4909
BOC;2;0.0435;0.3379;0.1969;0.5827
BOC;2;0.0437;0.331;0.175;0.5287
BOC;2;0.0438;0.3922;0.1615;0.4118
BOC;2;0.044;0.3277;0.2288;0.6982
BOC;2;0.0441;0.7237;0.0853;0.1179
BOC;2;0.0442;0.392;0.1902;0.4852
BOC;2;0.0447;0.7706;0.1019;0.1322
BOC;2;0.045;0.381;0.16;0.4199
BOC;2;0.0452;0.3565;0.2056;0.5767
BOC;2;0.0457;0.5748;0.1988;0.3459
BOC;2;0.048;0.5248;0.1256;0.2393
BOC;2;0.048;0.5278;0.1181;0.2238
BOC;2;0.0481;0.5873;0.1021;0.1738
BOC;2;0.0487;0.5561;0.1174;0.2111
BOC;2;0.0489;0.4546;0.1307;0.2875
BOC;2;0.0495;0.4857;0.159;0.3274
BOC;2;0.0499;0.4262;0.1851;0.4343
BOC;2;0.0505;0.3238;0.2041;0.6303
BOC;2;0.0508;0.4022;0.2084;0.5182
BOC;2;0.051;0.6214;0.0973;0.1566
BOC;2;0.0516;0.3981;0.1634;0.4104
BOC;2;0.0518;0.5275;0.1294;0.2453
BOC;2;0.0521;0.5505;0.1417;0.2574
BOC;2;0.0521;0.4841;0.1368;0.2826
BOC;2;0.0525;0.4787;0.1599;0.3340
BOC;2;0.0534;0.5282;0.1253;0.2372
BOC;2;0.0538;0.5032;0.1261;0.2506
BOC;2;0.0553;0.5716;0.159;0.2782
BOC;2;0.0558;0.461;0.152;0.3297
BOC;2;0.0571;0.5111;0.1523;0.2980
BOC;2;0.0574;0.543;0.1453;0.2676
BOC;2;0.0591;0.3516;0.2184;0.6212
BOC;2;0.0597;0.4817;0.1778;0.3691
BOC;2;0.0603;0.4481;0.216;0.4820
BOC;2;0.0604;0.4522;0.1937;0.4284
BOC;2;0.0605;0.6772;0.1061;0.1567
BOC;2;0.0606;0.7155;0.1123;0.1570
BOC;2;0.0607;0.3808;0.2115;0.5554
BOC;2;0.0608;0.3426;0.2257;0.6588
BOC;2;0.0617;0.6136;0.1495;0.2436
BOC;2;0.0618;0.6007;0.1885;0.3138
BOC;2;0.0625;0.5334;0.1388;0.2602
BOC;2;0.0634;0.3868;0.2605;0.6735
BOC;2;0.0639;0.3459;0.2521;0.7288
BOC;2;0.0643;0.4811;0.2104;0.4373
BOC;2;0.0646;0.5492;0.1537;0.2799
BOC;2;0.0651;0.4838;0.1773;0.3665
BOC;2;0.0656;0.5772;0.1684;0.2918
BOC;2;0.0657;0.5712;0.1519;0.2659
BOC;2;0.0672;0.5683;0.1424;0.2506
BOC;2;0.0684;0.3652;0.2815;0.7708
BOC;2;0.0691;0.5889;0.1524;0.2588
BOC;2;0.0694;0.67;0.1333;0.1990
BOC;2;0.0697;0.4768;0.1999;0.4193
BOC;2;0.0737;0.6297;0.1734;0.2754
BOC;2;0.074;0.4294;0.2188;0.5095
BOC;2;0.0747;0.4682;0.208;0.4443
BOC;2;0.0749;0.5219;0.176;0.3372
