Depth;Total_counts;Total_terrestrial_pollen;Pourc_Arbres;Pourc_Pionniers;Pourc_Te;Pourc_Evergreen;Pourc_Raingreen;P_Poaceae_Charly;Acanthaceae undiff.;Adenia;Adiantaceae;Zanthoxylum;Afzelia;Aizoaceae undiff.;Albizia-type;Alchornea;Alismataceae undiff.;Allophylus-type;Alstonia congensis;Amaranthaceae/Chenopodiaceae/Caryophyllaceae undiff.;Anacardiaceae undiff.;Annonaceae undiff.;Anthocleista;Antidesma;Aphania senegalensis;Landolphia;Apocynaceae undiff.;Arecaceae undiff.;Asteraceae undiff.;Baissea;Balanites;Berlinia;Blighia;Bombax;Borassus;Borreria;Brassicaceae undiff.;Bridelia;Burseraceae undiff.;Caesalpiniaceae undiff.;Canarium;Canthium;Capparis;Cardiospermum;Cassia;Ceiba pentandra;Celtis;Ceratopteris;Cissus;Clematis;Cnestis;Cola;Combretaceae/Melastomataceae undiff.;Commelina;Convolvulaceae undiff.;Cordia;Croton;Crudia;Cucurbitaceae undiff.;Araliaceae undiff.;Cyclosoris;Cynometra;Cyperaceae undiff.;Dalbergia;Daniellia;Desmodium;Dialium;Diospyros;Dolichos;Drepanocarpus;Drypetes;Eichornea;Elaeis guineensis;Ericaceae;Erythrococca;Eugenia;Euphorbiaceae undiff.;Fabaceae undiff.;Flabellaria;Flacourtiaceae;Gaertnera;Glyphaea brevis;Holoptelea grandis;Hymenocardia;Indeterminate;Ipomoea;Irvingia;Ixora;Justicia;Meliaceae undiff.;Labiatae;Leonotis-type;Lactuceae;Lannea;Lasiodiscus;Laurembergia;Loranthaceae;Ludwigia;Macaranga;Mallotus;Malvaceae undiff.;Mansonia;Menispermaceae undiff.;Mimosa pigra;Mimosaceae undiff.;Mitracarpus;Mitragyna inermis;Monocotyledoneae undiff.;Morelia senegalensis;Morinda;Mussaenda;Nauclea-type;Neptunia oleracea;Nesogordonia;Nymphaea;Olea;Ouratea;Parinari;Passifloraceae undiff.;Paullinia pinnata;Pentadesma;Pentodon pentandrus;Periplocaceae cf. Zacateza pedicellata;Phoenix reclinata;Phyllanthus;Piptadeniastrum africanum;Poaceae undiff.;Podocarpus;Polygala;Persicaria;Portulaca;Protea;Pterocarpus;Monolete;Trilete;Pycnanthus;Raphia;Rhizophora;Rothmannia;Rubiaceae undiff.;Saba;Salviniaceae undiff.;Sapindaceae undiff.;Sapotaceae undiff.;Securinega virosa;Solanum;Sterculia;Syzygium;Tetrapleura;Triplochiton scleroxylon;Typha;Uapaca;Unknown;Urticaceae;Verbenaceae;Vismia;Vitex;Ficus;Moraceae undiff.;Antiaris;Musanga;Clausena;Afraegle
673;401;321;95.01557632;43.93442623;2.295081967;50.16393443;41.31147541;2.803738318;0;5;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;1;4;0;1;0;56;0;0;3;0;1;5;0;0;1;0;0;0;0;5;5;12;0;12;0;1;3;0;0;0;0;1;0;0;1;2;2;0;1;0;0;12;2;17;0;2;0;0;0;1;0;0;3;3;0;1;0;0;2;0;0;0;0;0;0;1;0;2;1;0;14;0;1;1;0;0;1;0;0;0;0;0;0;1;1;9;0;0;0;1;0;0;7;1;0;0;25;0;2;0;0;0;97;0;2;1;1;2;1;0;6;8;0;0;0;1;31;1;0;7;0;0
694;440;369;94.03794038;44.95677233;1.729106628;50.14409222;38.04034582;5.691056911;0;0;0;6;0;0;1;5;0;0;0;0;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;60;1;2;2;0;2;6;0;0;2;0;0;0;0;2;3;5;0;9;0;7;4;0;0;0;0;2;0;0;1;1;2;0;10;0;0;17;1;17;0;2;1;0;0;0;0;0;1;1;0;0;0;4;2;0;0;0;0;0;0;0;3;6;0;0;13;0;0;1;1;1;5;0;0;0;0;0;1;0;0;21;1;0;0;0;0;0;3;0;1;1;25;0;0;0;0;2;101;0;0;1;2;0;2;0;15;2;0;0;1;0;27;0;6;6;0;0
722;428;369;96.20596206;57.74647887;3.098591549;37.18309859;52.95774648;3.25203252;0;1;0;2;0;1;0;2;1;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;7;1;0;0;1;2;0;78;0;0;1;1;4;12;0;0;1;0;0;0;0;1;0;6;0;13;0;2;3;0;0;0;0;1;0;0;0;0;7;0;4;0;0;20;0;21;0;6;0;0;1;1;0;0;0;0;0;0;0;5;3;0;5;0;0;0;0;0;2;11;0;1;10;0;0;0;0;2;6;0;0;0;0;0;1;1;0;12;0;0;0;0;0;0;6;0;3;0;8;0;2;0;0;1;35;0;0;1;0;1;4;0;28;11;0;0;0;1;51;0;2;9;0;0
752;419;365;93.15068493;55.29411765;4.411764706;35.58823529;54.11764706;4.931506849;0;1;0;3;0;0;0;5;0;0;0;0;3;0;0;3;0;0;0;3;1;0;0;0;2;0;0;2;0;1;1;7;0;0;3;0;1;3;71;0;2;0;0;4;16;0;0;4;0;0;0;0;1;0;17;0;28;0;1;1;0;0;0;0;1;0;0;0;1;2;2;4;0;0;16;2;14;0;3;0;0;0;0;1;0;2;1;0;0;0;5;2;0;2;0;0;0;0;0;3;11;0;0;13;0;0;0;0;0;8;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;4;1;2;0;3;0;0;0;0;0;33;0;0;4;0;1;7;0;22;6;0;0;0;0;34;0;0;7;0;0
772;434;355;92.3943662;60.97560976;1.524390244;36.58536585;50.30487805;6.197183099;0;2;0;2;0;1;0;3;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;1;67;0;0;1;1;5;18;1;0;0;0;0;0;0;10;3;17;0;14;0;1;5;0;0;0;0;1;0;0;0;0;11;0;5;0;1;16;0;22;0;2;0;0;1;1;0;0;1;0;0;0;1;12;2;0;3;0;0;0;0;0;1;19;0;0;11;0;1;1;1;5;2;0;0;0;0;1;0;3;0;22;0;0;0;0;0;0;6;0;0;0;3;0;0;0;2;2;21;0;0;4;0;0;0;0;18;12;0;0;0;1;41;0;1;13;0;0
802;445;364;89.28571429;50.15384615;2.461538462;37.23076923;50.15384615;8.791208791;0;0;0;2;0;1;0;8;0;0;0;2;0;0;0;2;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;5;0;0;2;0;1;2;80;0;0;5;0;1;13;0;0;1;0;0;0;0;6;7;24;0;32;0;3;5;0;0;0;0;0;0;0;0;2;2;0;10;0;0;10;0;16;0;1;2;0;0;0;0;0;2;1;1;0;0;11;0;0;2;0;0;1;0;0;1;12;0;0;16;0;0;0;1;3;4;2;0;0;0;0;1;1;1;32;0;0;0;0;0;0;8;0;3;0;6;0;0;0;0;0;28;0;0;7;1;0;4;0;13;9;0;0;0;1;16;0;0;6;0;0
822;439;352;94.31818182;53.01204819;3.313253012;39.15662651;48.4939759;3.693181818;0;2;0;1;0;0;0;7;0;0;0;2;0;1;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;8;0;0;2;0;0;0;61;0;0;2;0;2;14;0;0;2;0;0;0;0;2;7;23;0;19;0;3;4;0;0;0;0;0;0;0;0;1;5;0;12;0;0;25;0;16;0;5;0;0;0;2;1;1;5;1;0;0;0;19;0;0;6;0;0;0;0;0;1;9;0;0;13;0;0;0;4;1;1;0;0;0;0;0;2;0;0;13;0;0;0;0;0;0;12;0;0;0;6;0;0;0;0;0;27;0;0;3;1;1;1;0;28;13;0;0;0;2;27;0;0;8;0;0
852;483;382;93.71727749;50.83798883;2.234636872;44.41340782;45.53072626;5.497382199;1;1;0;4;0;0;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;3;0;3;2;0;0;1;50;0;0;0;0;2;24;0;0;2;0;0;0;0;3;6;44;0;18;0;4;3;0;0;0;0;0;0;0;1;1;6;0;6;1;1;34;0;12;0;2;0;0;0;0;0;0;2;0;0;0;0;11;0;0;2;0;0;0;1;0;2;17;0;0;18;0;0;0;1;1;5;1;0;0;0;0;0;3;2;21;0;0;0;0;0;0;8;1;2;0;16;0;0;0;0;1;30;0;0;7;0;0;3;0;42;9;0;0;0;1;20;0;0;6;0;0
872;430;343;96.20991254;56.36363636;3.939393939;35.45454545;50;2.623906706;0;1;0;3;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;2;0;9;0;0;2;0;0;0;57;0;1;4;0;5;20;0;0;3;0;0;0;0;2;8;16;0;17;0;5;0;0;0;0;0;3;0;0;1;2;1;1;12;0;0;22;0;15;0;2;0;0;0;0;0;0;4;2;0;0;0;15;0;0;4;0;0;1;0;0;0;12;0;0;27;0;1;0;2;1;4;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;10;2;2;0;29;0;0;0;0;0;7;0;0;2;0;1;5;0;23;6;0;0;0;0;32;0;0;7;0;0
898;485;378;93.91534392;58.30985915;1.971830986;34.36619718;46.47887324;4.761904762;0;2;0;10;0;1;0;3;0;0;0;2;0;0;0;2;0;0;7;3;1;0;0;0;4;0;0;0;0;0;1;8;0;1;2;0;0;0;71;0;1;1;0;5;20;0;0;0;0;0;1;0;0;2;20;0;9;0;10;0;0;0;0;0;3;0;0;0;0;2;0;11;0;0;21;1;14;0;5;0;0;0;0;0;0;5;1;0;0;0;13;0;0;3;0;0;0;0;0;0;19;0;0;16;0;1;0;1;2;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;7;0;2;0;52;0;0;0;0;0;18;0;0;9;0;5;2;0;24;10;0;0;0;0;28;0;0;5;0;0
