Depth;Total_counts;Total_terrestrial_pollen;Pourc_Arbres;Pourc_Pionniers;Pourc_Te;Pourc_Evergreen;Pourc_Raingreen;P_Poaceae_Charly;Acanthaceae undiff.;Adenia;Adiantaceae;Zanthoxylum;Afzelia;Aizoaceae undiff.;Albizia-type;Alchornea;Alismataceae undiff.;Allophylus-type;Alstonia congensis;Amaranthaceae/Chenopodiaceae/Caryophyllaceae undiff.;Anacardiaceae undiff.;Annonaceae undiff.;Anthocleista;Antidesma;Aphania senegalensis;Landolphia;Apocynaceae undiff.;Arecaceae undiff.;Asteraceae undiff.;Baissea;Balanites;Berlinia;Blighia;Bombax;Borassus;Borreria;Brassicaceae undiff.;Bridelia;Burseraceae undiff.;Caesalpiniaceae undiff.;Canarium;Canthium;Capparis;Cardiospermum;Cassia;Ceiba pentandra;Celtis;Ceratopteris;Cissus;Clematis;Cnestis;Cola;Combretaceae/Melastomataceae undiff.;Commelina;Convolvulaceae undiff.;Cordia;Croton;Crudia;Cucurbitaceae undiff.;Araliaceae undiff.;Cyclosoris;Cynometra;Cyperaceae undiff.;Dalbergia;Daniellia;Desmodium;Dialium;Diospyros;Dolichos;Drepanocarpus;Drypetes;Eichornea;Elaeis guineensis;Ericaceae;Erythrococca;Eugenia;Euphorbiaceae undiff.;Fabaceae undiff.;Flabellaria;Flacourtiaceae;Gaertnera;Glyphaea brevis;Holoptelea grandis;Hymenocardia;Indeterminate;Ipomoea;Irvingia;Ixora;Justicia;Meliaceae undiff.;Labiatae;Leonotis-type;Lactuceae;Lannea;Lasiodiscus;Laurembergia;Loranthaceae;Ludwigia;Macaranga;Mallotus;Malvaceae undiff.;Mansonia;Menispermaceae undiff.;Mimosa pigra;Mimosaceae undiff.;Mitracarpus;Mitragyna inermis;Monocotyledoneae undiff.;Morelia senegalensis;Morinda;Mussaenda;Nauclea-type;Neptunia oleracea;Nesogordonia;Nymphaea;Olea;Ouratea;Parinari;Passifloraceae undiff.;Paullinia pinnata;Pentadesma;Pentodon pentandrus;Periplocaceae cf. Zacateza pedicellata;Phoenix reclinata;Phyllanthus;Piptadeniastrum africanum;Poaceae undiff.;Podocarpus;Polygala;Persicaria;Portulaca;Protea;Pterocarpus;Monolete;Trilete;Pycnanthus;Raphia;Rhizophora;Rothmannia;Rubiaceae undiff.;Saba;Salviniaceae undiff.;Sapindaceae undiff.;Sapotaceae undiff.;Securinega virosa;Solanum;Sterculia;Syzygium;Tetrapleura;Triplochiton scleroxylon;Typha;Uapaca;Unknown;Urticaceae;Verbenaceae;Vismia;Vitex;Ficus;Moraceae undiff.;Antiaris;Musanga;Clausena;Afraegle
922;418;281;98.93238434;52.15827338;4.316546763;42.8057554;44.60431655;0.711743772;0;2;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;57;0;0;1;0;3;16;0;0;0;0;0;0;0;3;3;19;0;10;0;6;0;0;0;0;0;2;0;0;0;1;3;0;11;0;0;12;0;14;0;5;0;0;0;0;0;0;2;4;0;0;0;12;0;0;8;0;0;0;0;0;0;12;0;0;14;0;3;0;0;2;3;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;6;2;1;0;77;0;1;0;0;1;19;0;0;3;0;0;0;0;21;13;0;0;0;1;19;0;0;9;0;1
952;448;327;95.41284404;56.73076923;4.166666667;35.8974359;49.03846154;3.058103976;0;3;0;5;0;2;0;6;0;0;0;1;1;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;1;0;0;1;49;0;1;0;0;5;18;0;0;2;0;0;0;0;2;1;16;0;2;0;4;2;0;0;0;0;2;0;0;0;1;3;0;6;0;0;10;0;15;0;2;0;0;1;1;0;0;7;0;0;0;0;8;0;0;6;0;0;0;0;0;2;11;0;0;25;0;3;0;0;2;5;2;0;0;0;0;0;2;0;10;0;0;0;0;0;0;4;0;2;0;68;0;0;0;0;1;16;0;0;7;1;3;2;1;28;6;0;0;0;0;45;0;3;1;0;0
972;382;254;96.45669291;53.87755102;2.040816327;43.67346939;40.81632653;2.362204724;0;0;0;2;0;0;0;12;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;2;1;49;0;0;4;0;2;11;0;0;0;0;0;0;0;6;2;8;0;0;0;5;1;0;0;0;0;0;0;0;0;2;4;0;10;0;5;8;0;19;0;3;0;0;0;0;0;0;5;0;0;0;0;8;1;0;3;0;0;0;0;0;0;18;0;0;16;0;1;1;2;1;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;2;0;0;64;0;0;0;0;2;17;0;0;4;0;1;1;0;19;10;0;0;1;0;21;0;0;4;1;0
1002;481;323;91.64086687;51.35135135;4.054054054;41.21621622;45.27027027;4.953560372;0;2;0;4;0;3;0;6;0;0;0;0;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;60;0;3;1;0;5;10;0;0;2;0;0;0;0;5;5;33;0;2;0;8;1;0;0;0;0;4;0;0;0;1;4;3;7;0;0;22;0;16;0;0;2;0;0;2;1;0;7;1;0;0;0;8;0;0;9;0;0;0;0;0;2;5;0;0;37;0;0;0;1;4;12;0;0;0;0;0;0;2;0;16;0;0;0;1;0;0;11;0;3;0;75;0;0;0;0;2;12;0;0;4;2;1;1;0;16;7;0;0;0;0;16;0;0;2;0;0
1022;440;310;98.06451613;51.64473684;1.973684211;51.97368421;40.46052632;1.290322581;0;1;0;2;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;1;2;61;0;0;0;0;2;13;0;0;0;0;0;0;0;8;7;21;0;0;0;4;2;0;0;0;0;3;0;0;0;0;4;0;5;0;4;9;0;10;0;1;0;0;0;0;1;0;2;1;1;0;0;3;0;0;3;0;0;0;0;0;0;18;0;0;59;0;1;0;1;3;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;6;0;0;0;68;0;0;0;0;0;13;0;0;2;0;2;1;0;23;8;0;0;0;1;30;0;0;9;0;0
1058;442;315;97.46031746;44.29967427;1.628664495;52.76872964;39.08794788;0.317460317;0;0;0;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;3;0;1;2;0;0;0;78;0;0;0;0;0;11;0;0;1;0;0;0;0;6;7;5;0;0;0;1;2;0;0;0;0;0;0;0;0;3;7;0;4;0;0;7;0;17;0;1;0;0;0;1;0;0;3;0;0;0;0;2;0;1;3;0;0;0;0;0;1;12;0;0;99;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;83;0;0;0;0;0;13;0;0;2;0;0;0;0;17;11;0;0;0;0;16;0;0;2;0;0
1073;458;288;96.52777778;40.28776978;1.438848921;54.31654676;30.9352518;2.430555556;0;1;0;2;0;3;1;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;1;4;0;0;5;49;0;1;0;0;4;6;0;0;0;0;0;0;0;6;0;1;0;1;0;4;5;0;0;0;0;0;0;0;0;0;6;0;7;0;1;4;1;17;0;5;0;0;1;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0;0;0;0;8;1;0;72;1;1;0;0;2;5;4;0;0;0;0;0;2;0;7;0;0;0;0;0;0;3;2;2;0;119;0;0;1;0;2;16;0;0;2;0;0;0;0;19;11;0;0;0;0;15;0;0;5;0;0
1101;450;285;98.24561404;42.85714286;1.785714286;55;36.07142857;0.701754386;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;74;0;0;1;0;3;5;0;0;0;0;0;0;0;14;9;4;0;0;0;1;2;0;0;0;0;1;0;0;0;2;3;1;4;1;1;3;0;6;0;2;0;0;1;0;0;0;1;0;0;0;0;3;0;1;2;0;0;0;0;0;0;10;0;0;74;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;3;0;0;0;131;0;0;0;0;0;14;0;0;4;2;0;0;0;25;4;0;0;0;2;15;0;0;3;0;0
1129;427;304;99.01315789;41.5282392;1.328903654;59.13621262;34.55149502;0.986842105;0;1;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;3;0;1;1;0;2;3;62;0;0;0;0;1;9;0;0;1;0;0;0;0;3;6;2;0;1;0;2;5;0;0;0;0;0;0;0;1;0;2;0;2;0;0;4;0;13;0;1;0;0;1;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;1;11;0;0;105;0;1;0;0;1;1;0;1;0;0;0;0;2;0;3;1;0;0;0;0;0;4;2;2;1;85;0;0;0;0;0;17;0;0;2;0;0;0;0;16;6;0;0;0;0;20;0;0;2;0;0
1156;449;302;98.34437086;49.15824916;0;55.89225589;40.06734007;0.662251656;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;75;0;0;2;0;1;17;0;0;0;0;0;0;0;14;4;1;0;1;0;0;0;0;0;0;0;1;0;0;1;2;3;1;1;2;0;1;0;11;0;1;0;0;0;0;0;0;3;0;0;0;0;12;0;0;0;0;0;0;0;0;0;6;0;0;64;0;0;0;0;2;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;110;0;0;0;0;0;16;0;0;0;0;1;0;0;38;6;0;0;0;0;19;0;1;7;0;0
1182;440;294;97.27891156;39.16083916;0.699300699;58.04195804;32.51748252;1.700680272;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;6;2;46;0;0;3;1;1;21;0;0;0;0;0;0;0;9;8;6;1;0;0;1;4;0;0;0;0;0;0;0;0;0;7;1;2;3;2;2;0;16;0;6;0;0;0;0;1;0;1;0;0;0;0;10;0;0;2;0;0;0;0;0;0;6;0;0;59;0;0;0;0;0;2;0;0;0;0;1;0;1;0;5;0;1;0;0;0;0;6;3;0;0;93;0;0;0;0;0;9;0;0;4;0;1;0;1;45;10;0;0;0;0;13;0;1;3;0;0
1200;453;282;98.58156028;38.48920863;1.079136691;64.02877698;30.21582734;0.709219858;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;0;2;1;46;1;0;1;0;1;5;0;0;0;0;0;0;0;33;3;5;0;0;0;0;4;0;0;1;0;1;0;0;0;0;3;2;2;0;0;4;0;14;0;1;0;0;1;0;0;0;7;0;0;0;0;18;0;0;3;0;0;0;0;0;1;7;0;0;42;0;0;0;1;3;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;6;1;1;0;104;0;0;0;0;2;10;0;0;2;0;2;0;0;78;4;0;0;0;0;11;0;1;0;0;0
1227;443;242;96.69421488;44.01709402;1.709401709;55.98290598;35.04273504;1.652892562;0;1;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;0;46;0;0;2;1;1;9;1;0;1;0;0;0;0;14;3;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;10;2;1;0;1;8;0;12;0;2;0;0;0;0;0;0;1;0;0;0;0;14;0;0;2;0;0;0;0;0;7;5;0;0;37;0;0;0;1;0;3;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;7;3;1;0;149;0;1;0;0;0;16;0;0;0;0;0;0;0;41;2;0;0;0;0;12;0;0;2;0;1
1255;451;258;97.6744186;54.76190476;0.396825397;50.3968254;42.46031746;1.550387597;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;3;63;0;0;6;0;0;14;0;0;0;0;0;0;0;48;1;6;0;0;0;0;1;2;0;1;0;0;0;0;0;0;3;0;0;0;0;5;0;26;0;3;0;0;1;0;0;0;4;0;0;0;0;21;0;0;0;0;0;0;0;0;2;4;0;0;26;0;1;0;0;3;3;0;0;0;0;1;0;0;1;4;1;0;0;0;0;0;3;0;0;0;96;0;0;0;0;2;14;0;0;4;0;0;0;0;38;7;0;0;0;0;14;0;0;3;1;0
1272;453;241;95.85062241;54.11255411;0;51.08225108;45.02164502;2.904564315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;4;0;0;0;0;1;0;0;0;2;0;0;0;3;72;0;0;2;0;0;15;0;0;0;0;0;0;0;42;3;5;1;0;1;0;1;0;0;0;0;0;0;0;1;0;4;1;0;1;4;1;0;19;0;6;0;0;0;0;1;0;3;0;0;0;0;16;0;0;0;0;0;0;0;0;2;4;0;0;25;0;0;0;1;0;3;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;4;2;1;0;132;0;0;0;0;0;24;0;0;0;0;0;0;0;19;3;0;0;0;0;7;0;0;1;0;0
1299;449;199;97.48743719;55.67010309;2.06185567;45.87628866;47.42268041;1.507537688;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;7;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;60;0;0;1;0;1;9;0;0;1;0;0;0;0;95;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;2;0;4;0;30;0;0;0;0;0;0;0;1;1;0;0;0;0;11;1;0;3;0;0;1;0;0;0;2;0;0;23;0;0;0;0;0;10;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;6;2;1;0;107;0;0;0;0;2;20;0;0;1;0;2;0;1;8;6;0;0;1;0;9;0;0;0;0;0
1326;477;195;91.28205128;51.68539326;1.123595506;47.75280899;44.38202247;6.666666667;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;1;0;57;0;0;2;0;0;10;1;1;0;0;0;0;0;94;3;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;39;0;2;0;0;1;0;0;0;0;2;0;0;0;12;0;0;1;0;0;0;0;0;4;1;0;0;24;0;0;0;0;5;6;0;0;0;0;1;0;0;0;13;1;0;0;0;0;0;10;3;4;0;113;0;1;0;1;0;15;0;0;0;0;1;0;0;7;6;0;0;0;1;8;0;1;1;0;0
1354;502;279;98.92473118;44.20289855;1.811594203;57.24637681;32.24637681;1.075268817;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;6;0;1;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1;3;48;0;0;0;0;4;13;0;0;1;0;0;0;0;88;7;7;0;0;0;1;4;0;0;0;0;0;0;0;0;0;11;0;1;10;0;5;0;24;0;4;0;0;0;0;0;0;6;0;0;0;0;13;0;0;3;0;0;0;0;0;2;16;0;0;25;1;0;0;0;0;17;0;1;0;0;1;0;0;0;3;0;0;0;0;0;0;8;0;9;0;82;0;0;0;0;2;16;0;0;3;0;0;0;0;23;10;0;0;1;1;9;0;0;2;0;0
1371;445;351;99.14529915;72.98850575;1.149425287;74.13793103;21.26436782;0.56980057;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;44;0;0;0;0;2;16;0;0;0;0;0;0;0;12;3;7;0;0;0;0;1;0;0;0;0;0;0;0;0;1;8;0;1;1;0;4;0;23;0;2;0;0;0;0;0;0;1;0;0;0;0;11;0;0;4;0;0;0;0;2;0;172;0;0;48;0;0;0;1;0;8;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;33;0;0;0;0;0;1;0;0;2;0;0;0;0;3;13;0;0;0;0;4;0;0;0;0;0
1390;340;183;86.33879781;61.39240506;0;77.84810127;18.98734177;12.02185792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;18;0;0;0;0;0;6;0;0;0;0;0;0;0;10;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;31;0;1;0;65;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;62;0;0;8;0;0;0;0;0;3;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;12;4;0;1;18;0;0;0;0;0;6;0;0;0;0;0;0;0;5;4;0;0;0;0;5;0;0;2;0;0
