"Depth","Age","Counts","Concentration","AreaConcentration","meanWL","Prop.WL.gt.0.5","P_W_lower","P_W","P_W_upper","P_H_lower","P_H","P_H_upper"
68.5,1201.174,2,4,0.1272,0.1661484295,0,0.20929879685979,0.254997648548457,0.303743400976405,0.696256599023595,0.745002351451543,0.79070120314021
69.5,1216.137,5,10,0.6184,0.281089934,0.2,0.198623539904521,0.249438564466422,0.299677941486842,0.700322058513158,0.750561435533578,0.801376460095479
70.5,1227.635,16,32,1.4288,0.34029720825,0.3125,0.193248540801359,0.243833930650814,0.293486675943168,0.706513324056832,0.756166069349186,0.806751459198641
71.5,1235.667,4,8,0.3506,0.2653352545,0,0.194102214049192,0.240203500368069,0.286305596369333,0.713694403630667,0.759796499631931,0.805897785950809
72.5,1243.699,20,40,1.143,0.3898166018,0.3,0.197467071120612,0.236808388216782,0.279952700570348,0.720047299429652,0.763191611783218,0.802532928879388
73.5,1251.731,1,2,0.2086,0.252435673,0,0.201872183970525,0.234451794311887,0.271107884437656,0.728892115562344,0.765548205688113,0.798127816029475
74.5,1259.763,5,10,0.586,0.3276832222,0.4,0.201432691041606,0.232366316337726,0.262699197806937,0.737300802193063,0.767633683662274,0.798567308958394
75.5,1267.796,5,10,0.3452,0.2117428246,0.2,0.198683616088238,0.228980527403636,0.258731949406688,0.741268050593312,0.771019472596364,0.801316383911762
76.5,1275.828,5,10,0.4432,0.249240496,0,0.192885242924154,0.226256951827371,0.2552482418689,0.7447517581311,0.773743048172629,0.807114757075846
77.5,1283.86,4,8,0.2072,0.2777597805,0,0.186072965830603,0.222522603614727,0.253740463122992,0.746259536877008,0.777477396385273,0.813927034169397
78.5,1291.892,5,10,0.3492,0.4463474098,0.4,0.175434257067872,0.216035237153093,0.250123521049269,0.749876478950731,0.783964762846907,0.824565742932128
79.5,1299.925,12,24,1.446,0.2289820485,0.0833333333333333,0.166704697730118,0.208428107166748,0.244177227242167,0.755822772757833,0.791571892833252,0.833295302269882
80.5,1308.168,6,12,0.768,0.234723718333333,0.166666666666667,0.159938981493582,0.200940588864778,0.235816192040881,0.764183807959119,0.799059411135222,0.840061018506418
81.5,1316.621,15,30,1.077,0.198007880933333,0.0666666666666667,0.15546279414211,0.19394527801091,0.225758676467222,0.774241323532778,0.80605472198909,0.84453720585789
82.5,1325.075,11,22,0.7382,0.283371480636364,0.181818181818182,0.155634409725816,0.188961134460957,0.217009050611262,0.782990949388738,0.811038865539043,0.844365590274184
83.5,1333.529,22,44,3.6588,0.300547003863636,0.272727272727273,0.157553368200032,0.187075551555615,0.211514365223675,0.788485634776325,0.812924448444385,0.842446631799968
84.5,1341.983,8,16,0.641,0.36221007125,0.125,0.160426746292398,0.187028051166367,0.212143516732262,0.787856483267738,0.812971948833633,0.839573253707602
85.5,1350.436,8,16,0.6224,0.272730036875,0.125,0.164717057149433,0.189862127148718,0.216156561394719,0.783843438605281,0.810137872851282,0.835282942850567
86.5,1358.89,4,8,0.397,0.1933816295,0,0.166792916054364,0.192861443681861,0.221217088829351,0.778782911170649,0.807138556318139,0.833207083945636
87.5,1367.344,12,24,0.76,0.264928749583333,0.166666666666667,0.168220972006403,0.196841700793725,0.227743334566583,0.772256665433417,0.803158299206275,0.831779027993597
88.5,1375.798,14,28,1.2594,0.379536759285714,0.357142857142857,0.168422449885251,0.199725141692264,0.233202256944476,0.766797743055524,0.800274858307736,0.831577550114749
89.5,1384.251,5,10,0.456,0.447870114,0.4,0.168293435880365,0.200736602577717,0.236103244251252,0.763896755748748,0.799263397422283,0.831706564119635
90.5,1392.743,21,42,1.443,0.192689209761905,0,0.169850921951896,0.202206315692243,0.237671435882177,0.762328564117823,0.797793684307757,0.830149078048104
91.5,1401.274,12,24,1.0206,0.245987624666667,0.0833333333333333,0.173964102770875,0.2042526204212,0.238146235026473,0.761853764973527,0.7957473795788,0.826035897229125
92.5,1409.804,17,34,0.951,0.320525877470588,0.235294117647059,0.180589526014648,0.207917884918105,0.238527843322964,0.761472156677036,0.792082115081895,0.819410473985352
93.5,1418.334,7,14,0.9086,0.559215972,0.571428571428571,0.189250946905932,0.213666312466637,0.240136365630993,0.759863634369007,0.786333687533363,0.810749053094068
94.5,1426.865,6,12,0.8548,0.377585783,0.333333333333333,0.197501060921389,0.220981675602912,0.245802464238289,0.754197535761711,0.779018324397088,0.802498939078611
95.5,1435.395,10,20,1.3618,0.1491560999,0,0.207388596444408,0.231107236774419,0.25566818656148,0.74433181343852,0.768892763225581,0.792611403555592
96.5,1443.926,11,22,0.6466,0.210201155090909,0.0909090909090909,0.221447199220776,0.246013432158402,0.272450936814025,0.727549063185975,0.753986567841598,0.778552800779224
97.5,1452.456,0,0,0,NA,NA,0.235543995037997,0.262945572167392,0.294793457465158,0.705206542534842,0.737054427832608,0.764456004962003
98.5,1460.986,8,16,0.6896,0.31907307725,0.25,0.24729057953971,0.277540163149785,0.31524331872698,0.68475668127302,0.722459836850215,0.75270942046029
99.5,1469.517,3,6,0.2192,0.618359179666667,0.666666666666667,0.253520498994769,0.285297136356049,0.326439957890307,0.673560042109693,0.714702863643951,0.746479501005231
100.5,1478.44,32,64,3.9132,0.40135126021875,0.3125,0.250095267715453,0.281724993766608,0.322237665211101,0.677762334788899,0.718275006233392,0.749904732284547
101.5,1487.756,22,44,2.251,0.373674347045455,0.318181818181818,0.226844309381462,0.256315647140263,0.292243605474025,0.707756394525975,0.743684352859737,0.773155690618538
102.5,1497.071,31,62,3.6312,0.231104778903226,0.0967741935483871,0.159586228816621,0.183997344225155,0.208310699915113,0.791689300084887,0.816002655774845,0.840413771183379
103.5,1506.387,18,36,2.1692,0.146862402055556,0,0.0841398067771527,0.104097718414744,0.11879788860611,0.881202111393889,0.895902281585256,0.915860193222847
104.5,1515.703,34,68,4.3462,0.272705987705882,0.147058823529412,0.0452422356432381,0.0630424817925139,0.0734857219924526,0.926514278007547,0.936957518207486,0.954757764356762
105.5,1525.019,14,28,1.1896,0.164886206,0,0.0370887173448609,0.0546348915437342,0.0653833453715027,0.934616654628497,0.945365108456266,0.962911282655139
106.5,1534.334,9,18,0.7076,0.225423160555556,0,0.0366589967725738,0.0553839110234362,0.0677423356519901,0.93225766434801,0.944616088976564,0.963341003227426
107.5,1543.65,40,80,5.5446,0.248391183825,0.075,0.0383052970152415,0.0598204195672458,0.0734715143445286,0.926528485655471,0.940179580432754,0.961694702984758
108.5,1552.966,17,34,1.4492,0.189494641529412,0.0588235294117647,0.0561008801927402,0.0802812495208317,0.0978369027878816,0.902163097212118,0.919718750479168,0.94389911980726
109.5,1562.282,83,166,10.5952,0.230908739903614,0.0843373493975904,0.0752765458563898,0.10100412274113,0.122150158681337,0.877849841318663,0.89899587725887,0.92472345414361
110.5,1571.891,23,46,2.3678,0.233907551086957,0.173913043478261,0.0883738276390699,0.114313541367894,0.13682571108465,0.86317428891535,0.885686458632105,0.91162617236093
111.5,1581.795,17,34,1.3176,0.132535615352941,0,0.0982863761131615,0.12295672344415,0.145348665483451,0.854651334516549,0.87704327655585,0.901713623886839
112.5,1591.698,14,28,0.941,0.240585931357143,0.214285714285714,0.105666689164774,0.128102746991227,0.148392984800355,0.851607015199645,0.871897253008773,0.894333310835226
113.5,1601.602,20,40,1.8362,0.20454817725,0.1,0.108955431889497,0.128370187112735,0.146279022955562,0.853720977044438,0.871629812887265,0.891044568110503
114.5,1611.505,21,42,1.3714,0.176741113285714,0.0476190476190476,0.106713550154516,0.124714443842215,0.141726967190515,0.858273032809486,0.875285556157785,0.893286449845484
115.5,1621.409,11,22,1.4488,0.413729453727273,0.363636363636364,0.0989793428225947,0.115830671038574,0.132359892816077,0.867640107183923,0.884169328961426,0.901020657177405
116.5,1631.313,24,48,4.041,0.144108402333333,0,0.0852307437177509,0.103252052139384,0.119796668600346,0.880203331399654,0.896747947860616,0.914769256282249
117.5,1641.216,26,52,2.9374,0.167877522961538,0.0769230769230769,0.0739321936380556,0.0948082494588415,0.111624440848991,0.888375559151009,0.905191750541158,0.926067806361944
118.5,1651.12,10,20,1.0654,0.2997191959,0.2,0.0711820739874157,0.0934485707706425,0.111808628144189,0.888191371855811,0.906551429229357,0.928817926012584
119.5,1661.023,6,12,0.7214,0.0881061806666667,0,0.0738996460387867,0.098333105372387,0.117982605466294,0.882017394533706,0.901666894627613,0.926100353961213
120.5,1673.707,12,24,1.0464,0.134935457416667,0,0.0864301574571192,0.111289969473237,0.132860811727508,0.867139188272492,0.888710030526763,0.913569842542881
121.5,1689.172,19,38,1.4582,0.250407423052632,0.105263157894737,0.111983912937763,0.134922502888336,0.158101131972839,0.841898868027162,0.865077497111664,0.888016087062237
122.5,1704.637,22,44,2.7968,0.291385597727273,0.181818181818182,0.143946164923918,0.165899923307204,0.190210828634345,0.809789171365655,0.834100076692796,0.856053835076082
123.5,1720.102,7,14,0.5392,0.228062807428571,0.142857142857143,0.176198739755573,0.198829028297063,0.223703711425044,0.776296288574956,0.801170971702937,0.823801260244427
124.5,1735.567,12,24,1.1186,0.366554072916667,0.333333333333333,0.199456765820085,0.222084228338915,0.246555785327084,0.753444214672916,0.777915771661085,0.800543234179915
125.5,1751.032,7,14,0.4528,0.121439572428571,0,0.206611836945785,0.226867596462863,0.249843181355704,0.750156818644296,0.773132403537137,0.793388163054215
126.5,1766.496,4,8,0.3248,0.2448682405,0.25,0.198584386813814,0.218737981929938,0.238881203000244,0.761118796999756,0.781262018070062,0.801415613186186
127.5,1781.961,4,8,0.235,0.37539353525,0.5,0.183621881133414,0.204902200655507,0.224231490894637,0.775768509105363,0.795097799344493,0.816378118866586
128.5,1797.426,10,20,0.7668,0.1578616041,0,0.172023507532072,0.194058758970989,0.213299663990674,0.786700336009327,0.805941241029011,0.827976492467928
129.5,1812.891,12,24,0.7764,0.199058282,0,0.160549082181703,0.18252469252023,0.201566873771543,0.798433126228457,0.81747530747977,0.839450917818297
130.5,1828.112,8,16,0.8346,0.342147659125,0.375,0.148792283464396,0.169215047303233,0.18699516374248,0.81300483625752,0.830784952696767,0.851207716535604
131.5,1843.09,3,6,0.2404,0.124874713333333,0,0.137177468809616,0.155193713780422,0.171018233490211,0.828981766509789,0.844806286219578,0.862822531190384
132.5,1858.067,16,32,1.6576,0.251783363375,0.125,0.126186394382597,0.141808056927697,0.155416859293925,0.844583140706075,0.858191943072304,0.873813605617403
133.5,1873.045,17,34,1.5886,0.145190198882353,0,0.116052332785737,0.130214751462011,0.14173753829868,0.85826246170132,0.869785248537989,0.883947667214263
134.5,1888.022,12,24,0.7262,0.14395595075,0,0.107985348629363,0.121048267842991,0.132033459925485,0.867966540074515,0.878951732157009,0.892014651370637
135.5,1903,8,16,0.8338,0.084352534125,0,0.101068818153499,0.115591134968076,0.127488152823976,0.872511847176024,0.884408865031924,0.898931181846501
136.5,1917.977,18,36,1.6934,0.313111898777778,0.277777777777778,0.0943227263119414,0.111698423647866,0.126510265732822,0.873489734267178,0.888301576352134,0.905677273688059
137.5,1932.955,10,20,0.8522,0.2768604357,0.1,0.0861752825589662,0.109641137397153,0.126971305453902,0.873028694546098,0.890358862602847,0.913824717441034
138.5,1947.932,13,26,7.0922,0.238789148076923,0.0769230769230769,0.0799504967838389,0.108860036959646,0.129173825616402,0.870826174383598,0.891139963040354,0.920049503216161
139.5,1962.909,9,18,0.754,0.214094937,0.111111111111111,0.0768576724229158,0.110018420262496,0.132657370599826,0.867342629400174,0.889981579737504,0.923142327577084
140.5,1977.704,16,32,1.5626,0.2167726299375,0.0625,0.0796565530463108,0.112780725224772,0.135974303079124,0.864025696920876,0.887219274775228,0.920343446953689
141.5,1992.315,0,0,0,NA,NA,0.0840596229039989,0.116077416713718,0.137450652756537,0.862549347243463,0.883922583286282,0.915940377096001
142.5,2006.926,7,14,0.6678,0.309099882,0.142857142857143,0.0913758254637528,0.118533010319277,0.13823229189379,0.86176770810621,0.881466989680723,0.908624174536247
143.5,2021.537,5,10,0.6158,0.1719377318,0,0.099724718437282,0.122187629460775,0.140123054663361,0.859876945336639,0.877812370539225,0.900275281562718
144.5,2036.148,6,12,0.4592,0.129991189166667,0,0.106092401743761,0.126573941446476,0.144060714190207,0.855939285809793,0.873426058553524,0.893907598256239
145.5,2050.759,19,38,1.7848,0.300380875789474,0.157894736842105,0.11087895194968,0.131251439935745,0.149172481189434,0.850827518810566,0.868748560064255,0.88912104805032
146.5,2065.37,8,16,0.773,0.180765648875,0.125,0.114390355489574,0.135746499561064,0.154427447008468,0.845572552991532,0.864253500438936,0.885609644510426
147.5,2079.982,4,8,0.2196,0.1432713305,0,0.116356557984786,0.139602400275133,0.159946167827055,0.840053832172945,0.860397599724867,0.883643442015214
148.5,2094.593,1,2,0.081,0.143872394,0,0.117140116415123,0.142169537133898,0.165002900366395,0.834997099633605,0.857830462866102,0.882859883584877
149.5,2109.204,4,8,0.3222,0.15929472625,0,0.1165770002416,0.142823164893526,0.167709444085702,0.832290555914297,0.857176835106474,0.8834229997584
150.5,2124.715,21,42,1.6598,0.235102147047619,0.142857142857143,0.11307819820312,0.139132179724678,0.163261607984053,0.836738392015947,0.860867820275322,0.88692180179688
151.5,2141.126,3,6,0.2988,0.496574387666667,0.666666666666667,0.107489359507352,0.130903675763437,0.152323005675293,0.847676994324707,0.869096324236563,0.892510640492648
152.5,2157.538,18,36,1.6656,0.222430658833333,0.111111111111111,0.0997576367847762,0.120687132143025,0.138704952528506,0.861295047471494,0.879312867856975,0.900242363215224
153.5,2173.949,16,32,1.9462,0.16291179825,0,0.0917354860607435,0.109556337549799,0.123998177774256,0.876001822225744,0.890443662450201,0.908264513939257
154.5,2190.361,9,18,0.606,0.299885410777778,0.222222222222222,0.0850605957720347,0.0994616157856792,0.112024453311908,0.887975546688092,0.900538384214321,0.914939404227965
155.5,2206.772,3,6,0.28,0.338699538333333,0.333333333333333,0.0787734467707827,0.0928842962353636,0.104271571111176,0.895728428888824,0.907115703764636,0.921226553229217
156.5,2223.183,3,6,0.4114,0.0891086583333333,0,0.075047846109769,0.0908449052515451,0.103451722740688,0.896548277259313,0.909155094748455,0.924952153890231
157.5,2239.595,10,20,0.7136,0.2240624431,0,0.0749903450571936,0.0939718563768483,0.108468012048261,0.891531987951739,0.906028143623152,0.925009654942806
158.5,2256.006,17,34,2.626,0.168025640117647,0.117647058823529,0.0817859852756003,0.103350911847122,0.120854342332615,0.879145657667385,0.896649088152878,0.9182140147244
159.5,2272.417,5,10,0.4344,0.2124978254,0,0.106564999857124,0.129212614239481,0.152098251716309,0.847901748283691,0.870787385760519,0.893435000142876
160.5,2285.787,18,36,1.8488,0.200447106333333,0.0555555555555556,0.138706302286049,0.162597060792651,0.190525864256095,0.809474135743905,0.837402939207349,0.861293697713951
161.5,2296.116,12,24,1.1614,0.246606161166667,0.166666666666667,0.163988633789335,0.189377139713527,0.219531632730162,0.780468367269838,0.810622860286473,0.836011366210665
162.5,2306.445,8,16,0.741,0.331866425625,0.125,0.186699233703316,0.211060833175174,0.240502200367167,0.759497799632833,0.788939166824826,0.813300766296684
163.5,2316.773,5,10,0.5262,0.392092636,0.4,0.200069895674113,0.223629419853233,0.251510877446058,0.748489122553942,0.776370580146767,0.799930104325887
164.5,2327.102,26,52,4.4596,0.295277196192308,0.230769230769231,0.205432011657625,0.228986419481198,0.25219945397599,0.74780054602401,0.771013580518802,0.794567988342375
165.5,2337.431,14,28,2.8608,0.383172405571429,0.357142857142857,0.205366508572692,0.227605899107038,0.24947388894285,0.75052611105715,0.772394100892962,0.794633491427308
166.5,2347.759,20,40,3.3476,0.1795648926,0.1,0.199579098331136,0.223444481471702,0.245536239770876,0.754463760229124,0.776555518528298,0.800420901668864
167.5,2358.088,22,44,2.5972,0.206039286727273,0.136363636363636,0.194013402362411,0.220002887330217,0.2435397161563,0.7564602838437,0.779997112669783,0.805986597637589
168.5,2368.416,23,46,2.4778,0.306352070652174,0.173913043478261,0.187442925034003,0.215491553319851,0.241757633810944,0.758242366189056,0.784508446680149,0.812557074965997
169.5,2378.745,14,28,1.6216,0.133966046071429,0,0.176964145318377,0.206027407224985,0.233154387099916,0.766845612900084,0.793972592775015,0.823035854681623
170.5,2387.334,17,34,0.8744,0.233938575705882,0.117647058823529,0.169645457988196,0.198017569197839,0.224472020346677,0.775527979653323,0.801982430802161,0.830354542011804
171.5,2394.184,6,12,0.9794,0.340440983166667,0.333333333333333,0.165679816841133,0.193078019092595,0.217624815868854,0.782375184131146,0.806921980907406,0.834320183158867
172.5,2401.034,4,8,0.6114,0.567508817,0.75,0.164506872873281,0.191273453779862,0.214000467738975,0.785999532261025,0.808726546220138,0.835493127126719
