"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"AZL",9,0.0503,0.5448,0.1201,0.2204,1,1999.624,TRUE
"AZL",9,0.068,0.5013,0.1689,0.3369,1,1999.624,TRUE
"AZL",9,0.1599,1.0877,0.2847,0.2617,1,1999.624,TRUE
"AZL",9,0.6418,1.4661,0.7254,0.4948,1,1999.624,TRUE
"AZL",10,0.1061,0.6278,0.3391,0.5401,1,1997.635,TRUE
"AZL",10,0.1182,1.416,0.132,0.0932,1,1997.635,TRUE
"AZL",10,0.1233,1.66,0.0916,0.0552,1,1997.635,TRUE
"AZL",10,0.1534,0.6994,0.3747,0.5357,1,1997.635,TRUE
"AZL",10,0.2033,1.4619,0.1738,0.1189,1,1997.635,TRUE
"AZL",10,0.234,0.9864,0.3088,0.3131,1,1997.635,TRUE
"AZL",11,0.0074,0.2471,0.0602,0.2436,1,1995.648,TRUE
"AZL",11,0.0141,0.4296,0.0568,0.1322,1,1995.648,TRUE
"AZL",11,0.0162,0.1654,0.14,0.8464,1,1995.648,TRUE
"AZL",11,0.0217,0.6199,0.0538,0.0868,1,1995.648,TRUE
"AZL",11,0.0222,0.5596,0.0705,0.126,1,1995.648,TRUE
"AZL",11,0.0239,0.9725,0.0483,0.0497,1,1995.648,TRUE
"AZL",11,0.0274,0.3368,0.1409,0.4183,1,1995.648,TRUE
"AZL",11,0.0366,0.6809,0.0733,0.1077,1,1995.648,TRUE
"AZL",11,0.0385,0.928,0.0614,0.0662,1,1995.648,TRUE
"AZL",11,0.0396,0.5539,0.1142,0.2062,1,1995.648,TRUE
"AZL",11,0.0399,1.0247,0.0554,0.0541,1,1995.648,TRUE
"AZL",11,0.0491,0.6718,0.1026,0.1527,1,1995.648,TRUE
"AZL",11,0.0508,0.7645,0.1164,0.1523,1,1995.648,TRUE
"AZL",11,0.0845,1.2295,0.1206,0.0981,1,1995.648,TRUE
"AZL",11,0.0929,0.8653,0.2584,0.2986,1,1995.648,TRUE
"AZL",11,0.1158,0.6269,0.2776,0.4428,1,1995.648,TRUE
"AZL",11,0.1532,1.7228,0.1099,0.0638,1,1995.648,TRUE
"AZL",11,0.1568,2.3818,0.0973,0.0409,1,1995.648,TRUE
"AZL",11,0.1999,0.7778,0.2896,0.3723,1,1995.648,TRUE
"AZL",11,0.4084,2.4447,0.2357,0.0964,1,1995.648,TRUE
"AZL",12,0.0094,0.147,0.0921,0.6265,1,1993.622,TRUE
"AZL",12,0.0124,0.3307,0.0649,0.1963,1,1993.622,TRUE
"AZL",12,0.0148,0.615,0.0365,0.0593,1,1993.622,TRUE
"AZL",12,0.0221,0.7181,0.0516,0.0719,1,1993.622,TRUE
"AZL",12,0.0272,0.5196,0.1085,0.2088,1,1993.622,TRUE
"AZL",12,0.053,0.5018,0.1657,0.3302,1,1993.622,TRUE
"AZL",12,0.0545,0.8821,0.0804,0.0911,1,1993.622,TRUE
"AZL",12,0.0578,1.0847,0.0805,0.0742,1,1993.622,TRUE
"AZL",12,0.0596,1.0251,0.1272,0.1241,1,1993.622,TRUE
"AZL",12,0.0798,0.5954,0.1931,0.3243,1,1993.622,TRUE
"AZL",12,0.08,0.7673,0.1457,0.1899,1,1993.622,TRUE
"AZL",12,0.0874,1.144,0.1331,0.1163,1,1993.622,TRUE
"AZL",12,0.1123,1.24,0.1239,0.0999,1,1993.622,TRUE
"AZL",12,0.1491,1.3392,0.3071,0.2293,1,1993.622,TRUE
"AZL",12,0.1588,0.9262,0.4355,0.4702,1,1993.622,TRUE
"AZL",12,0.4135,1.6205,0.2967,0.1831,1,1993.622,TRUE
"AZL",13,0.0138,0.371,0.0593,0.1598,1,1990.926,TRUE
"AZL",13,0.0173,0.558,0.0457,0.0819,1,1990.926,TRUE
"AZL",13,0.0175,0.5147,0.0517,0.1004,1,1990.926,TRUE
"AZL",13,0.0202,0.4099,0.0686,0.1674,1,1990.926,TRUE
"AZL",13,0.0212,0.6358,0.0484,0.0761,1,1990.926,TRUE
"AZL",13,0.0224,0.4418,0.0816,0.1847,1,1990.926,TRUE
"AZL",13,0.0239,0.6926,0.0514,0.0742,1,1990.926,TRUE
"AZL",13,0.0241,0.6118,0.0538,0.0879,1,1990.926,TRUE
"AZL",13,0.0261,0.6841,0.0816,0.1193,1,1990.926,TRUE
"AZL",13,0.0419,0.3449,0.2639,0.7651,1,1990.926,TRUE
